     21      3
      0    899   1027   1090
    100    794    886    961
    200    699    763    846
    300    616    656    744
    400    541    564    654
    500    476    484    575
    600    417    416    505
    700    366    357    443
    800    320    306    388
    900    280    262    340
   1000    245    224    298
   1100    214    191    260
   1200    187    163    228
   1300    163    140    199
   1400    142    119    174
   1500    123    101    152
   1600    107     86    132
   1700     93     74    115
   1800     81     63    100
   1900     70     53     87
   2000     61     45     76

Flow On Major Approach(vehphpl)	Through  Left Right
