     21      3
      0   1800   1827   1890
    100   1794   1786   1761
    200   1699   1763   1846
    300   1616   1656   1744
    400   1541   1564   1654
    500   1476   1484   1575
    600   1417   1416   1505
    700   1366   1357   1443
    800   1320   1306   1388
    900   1280   1262   1340
   1000   1245   1224   1298
   1100   1214   1191   1260
   1200   1187   1163   1228
   1300   1163   1140   1199
   1400   1142   1119   1174
   1500    923    901    952
   1600    807    886    832
   1700    593    574    515
   1800    381    363    300
   1900    170    153    187
   2000     61     45     76

Flow On Major Approach(vehphpl)	Through  Left Right
