section,key,value,required_or_optional,allowed_values
file_name,node,SLC_90_Work_Zone_Network_Node.shp,required,
file_name,link,SLC_90_Work_Zone_Network_Link.shp,required,
file_name,zone,SLC_90thSouth_Zone.shp,required,
file_name,centroid,,,
file_name,connector,,,
configuration,with_decimal_long_lat,yes,,yes;no
configuration,length_unit,mile,,km;mile
configuration,number_of_lanes_oneway_vs_twoway,oneway,,oneway;twoway
configuration,direction_0_as_oneway_vs_twoway,oneway,,oneway;twoway
configuration,lane_capacity_vs_link_capacity,lane,,lane;link
configuration,max_node_number_as_centroid,3000,required,
configuration,use_default_speed_limit_from_link_type,no,,yes;no
configuration,use_default_lane_capacity_from_link_type,no,,yes;no
configuration,use_default_number_of_lanes_from_link_type,no,,yes;no
node,name,,,
node,TAZ,TAZID,required,
node,control_type,,,
link,from_node_id,A,required,
link,to_node_id,B,required,
link,name,STREET,,
link,link_id,,,
link,link_type,FT,,
link,mode_code,,,
link,direction,ONEWAY,,
link,length,DISTANCE,required,
link,number_of_lanes,LANES,required,
link,hourly_capacity,CAP1HR1LN,required,
link,speed_limit,SFF,required,
link,r_number_of_lanes,,,
link,r_hourly_capacity,,,
link,r_speed_limit,,,
link,r_link_type,,,
zone,zone_id,Id,required,
centroid,name,,,
centroid,node_id,,,
centroid,TAZ,,,
connector,zone_end,,,
connector,node_end,,,
connector,length,,,
connector,number_of_lanes,,,
connector,hourly_capacity,,,
connector,default_speed_limit,,,
connector,default_link_type,,,
connector,defaut_direction,0,,
final_output,offset_link,yes,,
[control_type],,,,
minimum_speed_limit_for_signals=30,,,,
maximum_speed_limit_for_signals=60,,,,
