Phasing Data,,,,,,,,,
RECORDNAME,INTID,D1,D2,D3,D4,D5,D6,D7,D8
BRP,7381,111,112,212,211,121,122,221,222
MinGreen,7381,5,10,5,10,5,10,5,10
MaxGreen,7381,12,61,18,39,23,50,16,41
VehExt,7381,2.3,2.3,2,2,2.3,2.3,2,2
TimeBeforeReduce,7381,10,10,10,10,10,10,10,10
TimeToReduce,7381,8,20,8,28,8,15,8,18
MinGap,7381,0.3,0.3,0,0,0.3,0.3,0,0
Yellow,7381,3.6,3.6,3.2,3.2,3.6,3.6,3.2,3.2
AllRed,7381,2.1,2.1,2.5,2.5,2.1,2.1,2.5,2.5
Recall,7381,0,1,0,1,0,1,0,1
Walk,7381,0,5,0,5,0,5,0,5
DontWalk,7381,0,28,0,24,0,28,0,24
PedCalls,7381,0,1,0,1,0,1,0,1
MinSplit,7381,9,39,9,35,9,39,9,35
DualEntry,7381,0,1,0,1,0,1,0,1
InhibitMax,7381,1,1,1,1,1,1,1,1
Start,7381,0,17,83,106,0,28,83,104
End,7381,17,83,106,150,28,83,104,150
Yield,7381,11,77,100,144,22,77,98,144
Yield170,7381,11,77,100,144,22,77,98,144
LocalStart,7381,0,17,83,106,0,28,83,104
LocalYield,7381,11,77,100,144,22,77,98,144
LocalYield170,7381,11,77,100,144,22,77,98,144
