movement_index,three-node key,count
1,10847;5216;11507,58
2,10847;5216;5356,5
3,10847;5216;5868,12
4,10849;7984;5728,1
5,10850;4156;10849,1
6,10851;10852;5106,107
7,10851;6273;6270,669
8,10852;10851;6273,669
9,10852;5106;4804,107
10,10853;11910;5118,354
11,10853;6270;6273,107
12,10854;5118;11910,201
13,10854;5118;5727,276
14,10854;7210;10850,1
15,10854;7210;11763,143
16,10857;5587;11259,1
17,10857;5587;5174,13
18,10857;6255;1356,4
19,10857;6255;1357,12
20,10857;6255;5215,1
21,10872;5030;11128,193
22,10872;5030;4899,72
23,10872;5030;4958,486
24,10872;5861;5441,210
25,11123;5017;11124,261
26,11123;5017;11146,321
27,11123;5017;5018,133
28,11124;5017;11123,40
29,11124;5017;11146,52
30,11124;5017;5018,107
31,11124;5022;11147,150
32,11124;5022;4952,51
33,11124;5022;5524,442
34,11125;5436;5018,107
35,11125;5436;5577,45
36,11125;5436;5578,205
37,11125;5440;11127,621
38,11125;5440;11827,86
39,11125;5440;4952,130
40,11126;11127;5440,210
41,11126;5441;5861,751
42,11127;11126;5441,751
43,11127;5440;11125,162
44,11127;5440;11827,34
45,11127;5440;4952,14
46,11128;5030;10872,60
47,11128;5030;4899,6
48,11128;5030;4958,216
49,11129;5027;11150,175
50,11129;5027;5009,38
51,11129;5027;5010,58
52,11146;1319;11124,5
53,11146;1319;11147,26
54,11146;5017;11123,106
55,11146;5017;11124,232
56,11146;5017;5018,1089
57,11146;5736;11148,1375
58,11146;5736;8116,21
59,11147;1319;11124,4
60,11147;1319;11146,8
61,11147;5022;11124,143
62,11147;5022;4952,348
63,11147;5022;5524,490
64,11147;5820;1320,42
65,11147;5820;5103,783
66,11148;5113;11160,1459
67,11148;5113;8002,31
68,11148;5736;11146,1461
69,11148;5736;8116,40
70,11150;5027;11129,288
71,11150;5027;5009,41
72,11150;5027;5010,281
73,11150;5109;11151,13
74,11150;5109;4804,930
75,11151;5109;11150,129
76,11151;5109;4804,184
77,11159;5112;11160,460
78,11159;5112;11172,368
79,11159;5112;5589,590
80,11160;1322;11161,1
81,11160;1322;5589,47
82,11160;5112;11159,152
83,11160;5112;11172,797
84,11160;5112;5589,507
85,11160;5113;11148,1498
86,11160;5113;8002,33
87,11161;5103;5820,931
88,11161;5114;11173,383
89,11161;5114;5589,91
90,11161;5114;5592,318
91,11172;5112;11159,91
92,11172;5112;11160,766
93,11172;5112;5589,200
94,11172;5210;1348,79
95,11172;5210;1349,63
96,11172;5210;5211,1124
97,11173;5114;11161,417
98,11173;5114;5589,75
99,11173;5114;5592,138
100,11173;5219;1349,42
101,11173;5219;1355,22
102,11173;5219;5232,556
103,11180;5211;11181,22
104,11180;5211;5209,8
105,11180;5211;5210,39
106,11181;11182;5232,654
107,11181;5211;11180,3
108,11181;5211;5209,5
109,11181;5211;5210,89
110,11182;11181;1349,15
111,11182;11181;1352,77
112,11182;11181;5211,97
113,11182;5232;11183,389
114,11182;5232;5219,26
115,11182;5232;6256,239
116,11183;5215;5588,780
117,11183;5215;6255,9
118,11183;5232;11182,35
119,11183;5232;5219,25
120,11183;5232;6256,5
121,11184;11257;1404,59
122,11184;11257;5175,668
123,11184;5588;1357,15
124,11184;5588;5215,38
125,11255;5117;1358,17
126,11255;5117;5,250
127,11255;5118;11910,293
128,11255;5118;5727,596
129,11257;11184;5588,53
130,11257;5175;11507,322
131,11257;5175;5729,58
132,11257;5175;6185,308
133,11259;5214;11261,83
134,11259;5214;11281,10
135,11259;5214;6256,6
136,11259;5587;10857,12
137,11259;5587;5174,983
138,11261;5208;11282,34
139,11261;5208;5209,56
140,11261;5208;5238,48
141,11261;5214;11259,532
142,11261;5214;11281,37
143,11261;5214;6256,242
144,11281;5214;11259,171
145,11281;5214;11261,67
146,11281;5214;6256,232
147,11282;5208;11261,289
148,11282;5208;5209,204
149,11282;5208;5238,8
150,11489;7984;5728,91
151,11507;5175;11257,14
152,11507;5175;5729,31
153,11507;5175;6185,712
154,11507;5216;10847,16
155,11507;5216;5356,679
156,11507;5216;5868,185
157,11763;5730;1360,29
158,11763;5730;8172,114
159,11763;7210;10854,477
160,11827;5440;11125,27
161,11827;5440;11127,45
162,11827;5440;4952,64
163,11910;10853;1325,528
164,11910;10853;6270,68
165,11910;5118;10854,46
166,11910;5118;11255,27
167,11910;5118;5727,281
168,1285;5018;10853,95
169,1285;5018;11124,16
170,1285;5018;11125,398
171,1285;5018;11128,282
172,1285;5018;11129,278
173,1285;5018;11146,156
174,1285;5018;11147,127
175,1285;5018;11148,214
176,1285;5018;11160,194
177,1285;5018;11161,140
178,1285;5018;11172,250
179,1285;5018;11173,136
180,1285;5018;11181,100
181,1285;5018;11183,102
182,1285;5018;11257,23
183,1285;5018;11259,6
184,1285;5018;11261,42
185,1285;5018;1289,9
186,1285;5018;3001,277
187,1285;5018;4952,657
188,1285;5018;4958,41
189,1285;5018;5017,1015
190,1285;5018;5018,659
191,1285;5018;5030,107
192,1285;5018;5109,313
193,1285;5018;5112,1418
194,1285;5018;5113,106
195,1285;5018;5174,18
196,1285;5018;5208,1164
197,1285;5018;5209,242
198,1285;5018;5210,304
199,1285;5018;5211,69
200,1285;5018;5214,470
201,1285;5018;5216,409
202,1285;5018;5219,162
203,1285;5018;5240,3
204,1285;5018;5436,1501
205,1285;5018;5440,136
206,1285;5018;5588,64
207,1285;5018;5589,225
208,1285;5018;5592,134
209,1285;5018;5727,440
210,1285;5018;5729,24
211,1285;5018;5736,82
212,1285;5018;5820,69
213,1285;5018;5868,193
214,1285;5018;6185,18
215,1285;5018;6255,20
216,1285;5018;6256,174
217,1286;11125;1289,8
218,1286;11125;5436,132
219,1286;11125;5440,242
220,1289;11124;1319,12
221,1289;11124;5022,1
222,1289;11125;1286,15
223,1289;11125;5436,1
224,1289;4952;1290,5
225,1289;4952;5022,369
226,1289;4952;5440,87
227,1289;5018;1285,14
228,1289;5018;5017,137
229,1289;5018;5436,82
230,1290;4952;1289,4
231,1290;4952;5022,142
232,1290;4952;5440,50
233,1296;5240;5010,3
234,1299;11129;5027,41
235,1299;11129;5034,4
236,1299;4958;5010,16
237,1299;4958;5030,25
