movement_index,three-node key,count
1,10847;5216;11507,55
2,10847;5216;5356,6
3,10847;5216;5868,12
4,10850;7210;10854,1
5,10851;10852;5106,175
6,10851;6273;6270,805
7,10852;10851;6273,805
8,10852;5106;4804,175
9,10853;11910;5118,483
10,10853;6270;6273,175
11,10854;5118;11910,141
12,10854;5118;5727,190
13,10854;7210;10850,79
14,10854;7210;11763,136
15,10857;5587;5174,20
16,10857;6255;1356,5
17,10857;6255;1357,8
18,10857;6255;5215,1
19,10872;5030;11128,192
20,10872;5030;4899,73
21,10872;5030;4958,557
22,10872;5861;5441,325
23,11123;5017;11124,244
24,11123;5017;11146,325
25,11123;5017;5018,144
26,11124;5017;11123,49
27,11124;5017;11146,100
28,11124;5017;5018,151
29,11124;5022;11147,156
30,11124;5022;4952,20
31,11124;5022;5524,579
32,11125;5436;5018,160
33,11125;5436;5577,46
34,11125;5436;5578,212
35,11125;5440;11127,678
36,11125;5440;11827,165
37,11125;5440;4952,43
38,11126;11127;5440,325
39,11126;5441;5861,822
40,11127;11126;5441,822
41,11127;5440;11125,238
42,11127;5440;11827,73
43,11127;5440;4952,14
44,11128;5030;10872,61
45,11128;5030;4899,7
46,11128;5030;4958,212
47,11129;5027;11150,124
48,11129;5027;5009,102
49,11129;5027;5010,59
50,11146;5017;11123,100
51,11146;5017;11124,327
52,11146;5017;5018,1124
53,11146;5736;11148,1485
54,11146;5736;8116,40
55,11147;5022;11124,161
56,11147;5022;4952,203
57,11147;5022;5524,603
58,11147;5820;1320,35
59,11147;5820;5103,602
60,11148;5113;11160,1579
61,11148;5113;8002,24
62,11148;5736;11146,1537
63,11148;5736;8116,42
64,11150;5027;11129,119
65,11150;5027;5009,92
66,11150;5027;5010,335
67,11150;5109;11151,16
68,11150;5109;4804,1014
69,11151;5109;11150,155
70,11151;5109;4804,161
71,11159;5112;11160,476
72,11159;5112;11172,363
73,11159;5112;5589,578
74,11160;5112;11159,160
75,11160;5112;11172,994
76,11160;5112;5589,449
77,11160;5113;11148,1585
78,11160;5113;8002,45
79,11161;5103;5820,953
80,11161;5114;11173,219
81,11161;5114;5589,115
82,11161;5114;5592,280
83,11172;5112;11159,98
84,11172;5112;11160,955
85,11172;5112;5589,328
86,11172;5210;1348,74
87,11172;5210;1349,73
88,11172;5210;5211,1311
89,11173;5114;11161,368
90,11173;5114;5589,57
91,11173;5114;5592,57
92,11173;5219;1349,23
93,11173;5219;1355,18
94,11173;5219;5232,288
95,11180;5211;11181,6
96,11180;5211;5209,15
97,11180;5211;5210,48
98,11181;11182;5232,311
99,11181;5211;11180,1
100,11181;5211;5209,11
101,11181;5211;5210,37
102,11182;11181;1349,14
103,11182;11181;1352,39
104,11182;11181;5211,49
105,11182;5232;11183,198
106,11182;5232;5219,39
107,11182;5232;6256,74
108,11183;5215;5588,394
109,11183;5215;6255,8
110,11183;5232;11182,33
111,11183;5232;5219,23
112,11183;5232;6256,4
113,11184;11257;1404,72
114,11184;11257;5175,274
115,11184;5588;1357,11
116,11184;5588;5215,32
117,11255;5117;1358,20
118,11255;5117;5,161
119,11255;5118;10854,36
120,11255;5118;11910,349
121,11255;5118;5727,587
122,11257;11184;5588,43
123,11257;5175;11507,103
124,11257;5175;5729,28
125,11257;5175;6185,163
126,11259;5214;11261,137
127,11259;5214;11281,21
128,11259;5214;6256,25
129,11259;5587;10857,8
130,11259;5587;5174,1226
131,11261;5208;11282,19
132,11261;5208;5209,207
133,11261;5208;5238,26
134,11261;5214;11259,944
135,11261;5214;11281,79
136,11261;5214;6256,9
137,11281;5214;11259,183
138,11281;5214;11261,156
139,11281;5214;6256,130
140,11282;5208;11261,200
141,11282;5208;5209,289
142,11282;5208;5238,7
143,11489;7984;5728,113
144,11507;5175;11257,11
145,11507;5175;5729,38
146,11507;5175;6185,691
147,11507;5216;10847,10
148,11507;5216;5356,546
149,11507;5216;5868,173
150,11763;5730;8172,136
151,11763;7210;10854,330
152,11827;5440;11125,40
153,11827;5440;11127,60
154,11827;5440;4952,33
155,11910;10853;1325,523
156,11910;10853;6270,139
157,11910;5118;10854,76
158,11910;5118;11255,23
159,11910;5118;5727,384
160,1285;5018;1289,10
161,1285;5018;5017,301
162,1285;5018;5436,115
163,1286;11125;1289,8
164,1286;11125;5436,168
165,1286;11125;5440,203
166,1289;11124;1319,9
167,1289;11124;5017,1
168,1289;11124;5022,12
169,1289;11125;1286,15
170,1289;4952;1290,5
171,1289;4952;5022,311
172,1289;4952;5440,87
