Vehicle Selection Mode,--,Network-wide,--
Category,All Vehicles/Agents,Number of Vehicles,12638.00
Category,All Vehicles/Agents,Cumulative Number of Vehicles,12638.00
Category,All Vehicles/Agents,Total Travel Time (min),440116.22
Category,All Vehicles/Agents,Total Travel Distance (mile),37673.39
Category,All Vehicles/Agents,Avg Travel Time (min),34.82
Category,All Vehicles/Agents,Avg Travel Distance (mile), 2.98
Category,All Vehicles/Agents,Avg Speed (mile/hour), 5.14
Category,All Vehicles/Agents,Avg Travel Time Per Mile (min/mile),12.08
Category,All Vehicles/Agents,Travel Time Index: mean/FFTT, 7.05
Category,All Vehicles/Agents,Avg Travel Time STD (min),36.35
Category,All Vehicles/Agents,95th Percentile Travel Time (min),109.42
Category,All Vehicles/Agents,90th Percentile Travel Time (min),93.29
Category,All Vehicles/Agents,80th Percentile Travel Time (min),72.70
Category,All Vehicles/Agents,Planning Time Index: 95th percentile/FFTT,22.16
Category,All Vehicles/Agents,Buffer Index: (95th percentile - mean)/mean, 2.14
Category,All Vehicles/Agents,Skew Index: (90th %ile-median)/(median-10th %ile), 5.55
Category,All Vehicles/Agents,Travel Time Per Mile STD (min/mile),14.90
Category,All Vehicles/Agents,95th Percentile Travel Time Per Mile (min/mile),36.87
Category,All Vehicles/Agents,90th Percentile Travel Time Per Mile (min/mile),27.21
Category,All Vehicles/Agents,80th Percentile Travel Time Per Mile (min/mile),21.31
Category,All Vehicles/Agents,Total Generalized Time:TT+Toll/VOT (min),440116.22
Category,All Vehicles/Agents,Avg Generalized Travel Time:TT+Toll/VOT (min),34.82
Category,All Vehicles/Agents,Total Energy (KJ),538098560.00
Category,All Vehicles/Agents,Total CO2 (g),38671392.00
Category,All Vehicles/Agents,Total NOx (g),25891.06
Category,All Vehicles/Agents,Total CO (g),466964.09
Category,All Vehicles/Agents,Total HC (g),11467.30
Category,All Vehicles/Agents,Total Gallon,4421.52
Category,All Vehicles/Agents,Avg Energy (KJ/vehicle/mile),14283.25
Category,All Vehicles/Agents,Avg CO2 (g/vehicle/mile),1026.49
Category,All Vehicles/Agents,Avg NOx (g/vehicle/mile), 0.69
Category,All Vehicles/Agents,Avg CO (g/vehicle/mile),12.40
Category,All Vehicles/Agents,Avg HC (g/vehicle/mile), 0.30
Category,All Vehicles/Agents,Avg Miles per Gallon, 8.52
Category,SOV  HOV  Truck,Number of Vehicles,12638.00
Category,SOV  HOV  Truck,Cumulative Number of Vehicles,12638.00
Category,SOV  HOV  Truck,Total Travel Time (min),440116.22
Category,SOV  HOV  Truck,Total Travel Distance (mile),37673.39
Category,SOV  HOV  Truck,Avg Travel Time (min),34.82
Category,SOV  HOV  Truck,Avg Travel Distance (mile), 2.98
Category,SOV  HOV  Truck,Avg Speed (mile/hour), 5.14
Category,SOV  HOV  Truck,Avg Travel Time Per Mile (min/mile),12.08
Category,SOV  HOV  Truck,Travel Time Index: mean/FFTT, 7.05
Category,SOV  HOV  Truck,Avg Travel Time STD (min),36.35
Category,SOV  HOV  Truck,95th Percentile Travel Time (min),109.42
Category,SOV  HOV  Truck,90th Percentile Travel Time (min),93.29
Category,SOV  HOV  Truck,80th Percentile Travel Time (min),72.70
Category,SOV  HOV  Truck,Planning Time Index: 95th percentile/FFTT,22.16
Category,SOV  HOV  Truck,Buffer Index: (95th percentile - mean)/mean, 2.14
Category,SOV  HOV  Truck,Skew Index: (90th %ile-median)/(median-10th %ile), 5.55
Category,SOV  HOV  Truck,Travel Time Per Mile STD (min/mile),14.90
Category,SOV  HOV  Truck,95th Percentile Travel Time Per Mile (min/mile),36.87
Category,SOV  HOV  Truck,90th Percentile Travel Time Per Mile (min/mile),27.21
Category,SOV  HOV  Truck,80th Percentile Travel Time Per Mile (min/mile),21.31
Category,SOV  HOV  Truck,Total Generalized Time:TT+Toll/VOT (min),440116.22
Category,SOV  HOV  Truck,Avg Generalized Travel Time:TT+Toll/VOT (min),34.82
Category,SOV  HOV  Truck,Total Energy (KJ),538098560.00
Category,SOV  HOV  Truck,Total CO2 (g),38671392.00
Category,SOV  HOV  Truck,Total NOx (g),25891.06
Category,SOV  HOV  Truck,Total CO (g),466964.09
Category,SOV  HOV  Truck,Total HC (g),11467.30
Category,SOV  HOV  Truck,Total Gallon,4421.52
Category,SOV  HOV  Truck,Avg Energy (KJ/vehicle/mile),14283.25
Category,SOV  HOV  Truck,Avg CO2 (g/vehicle/mile),1026.49
Category,SOV  HOV  Truck,Avg NOx (g/vehicle/mile), 0.69
Category,SOV  HOV  Truck,Avg CO (g/vehicle/mile),12.40
Category,SOV  HOV  Truck,Avg HC (g/vehicle/mile), 0.30
Category,SOV  HOV  Truck,Avg Miles per Gallon, 8.52
Category,15-min Departure Time Interval,Number of Vehicles,
,,15:30_15:45,1366.00
,,15:45_16:00,1597.00
,,16:00_16:15,1674.00
,,16:15_16:30,1554.00
,,16:30_16:45,1691.00
,,16:45_17:00,1664.00
,,17:00_17:15,1665.00
,,17:15_17:30,1427.00
Category,15-min Departure Time Interval,Cumulative Number of Vehicles,
,,15:30_15:45,1366.00
,,15:45_16:00,2963.00
,,16:00_16:15,4637.00
,,16:15_16:30,6191.00
,,16:30_16:45,7882.00
,,16:45_17:00,9546.00
,,17:00_17:15,11211.00
,,17:15_17:30,12638.00
Category,15-min Departure Time Interval,Total Travel Time (min),
,,15:30_15:45,10930.23
,,15:45_16:00,24695.47
,,16:00_16:15,47626.13
,,16:15_16:30,61644.10
,,16:30_16:45,78767.42
,,16:45_17:00,81370.52
,,17:00_17:15,77519.02
,,17:15_17:30,57563.19
Category,15-min Departure Time Interval,Total Travel Distance (mile),
,,15:30_15:45,4048.71
,,15:45_16:00,4791.71
,,16:00_16:15,5016.50
,,16:15_16:30,4638.76
,,16:30_16:45,5004.04
,,16:45_17:00,4958.10
,,17:00_17:15,4962.31
,,17:15_17:30,4253.28
