Vehicle Selection Mode,--,Partial Trips Passing Selected Path,--
Category,All Vehicles/Agents,Number of Vehicles,164.00
Category,All Vehicles/Agents,Cumulative Number of Vehicles,164.00
Category,All Vehicles/Agents,Total Travel Time (min),1788.30
Category,All Vehicles/Agents,Total Travel Distance (mile),248.28
Category,All Vehicles/Agents,Avg Travel Time (min),10.90
Category,All Vehicles/Agents,Avg Travel Distance (mile), 1.51
Category,All Vehicles/Agents,Avg Speed (mile/hour), 8.33
Category,All Vehicles/Agents,Avg Travel Time Per Mile (min/mile), 7.20
Category,All Vehicles/Agents,Travel Time Index: mean/FFTT, 4.32
Category,All Vehicles/Agents,Avg Travel Time STD (min), 8.18
Category,All Vehicles/Agents,95th Percentile Travel Time (min),26.00
Category,All Vehicles/Agents,90th Percentile Travel Time (min),21.00
Category,All Vehicles/Agents,80th Percentile Travel Time (min),15.00
Category,All Vehicles/Agents,Planning Time Index: 95th percentile/FFTT,10.30
Category,All Vehicles/Agents,Buffer Index: (95th percentile - mean)/mean, 1.38
Category,All Vehicles/Agents,Skew Index: (90th %ile-median)/(median-10th %ile),1400.00
Category,All Vehicles/Agents,Travel Time Per Mile STD (min/mile), 5.40
Category,All Vehicles/Agents,95th Percentile Travel Time Per Mile (min/mile),17.17
Category,All Vehicles/Agents,90th Percentile Travel Time Per Mile (min/mile),13.87
Category,All Vehicles/Agents,80th Percentile Travel Time Per Mile (min/mile), 9.91
Category,All Vehicles/Agents,Total Generalized Time:TT+Toll/VOT (min),26293.57
Category,All Vehicles/Agents,Avg Generalized Travel Time:TT+Toll/VOT (min),160.33
Category,All Vehicles/Agents,Total Energy (KJ),24748060.00
Category,All Vehicles/Agents,Total CO2 (g),1778560.00
Category,All Vehicles/Agents,Total NOx (g),98.75
Category,All Vehicles/Agents,Total CO (g),4721.61
Category,All Vehicles/Agents,Total HC (g),33.94
Category,All Vehicles/Agents,Total Gallon,203.35
Category,All Vehicles/Agents,Avg Energy (KJ/vehicle/mile),99678.14
Category,All Vehicles/Agents,Avg CO2 (g/vehicle/mile),7163.53
Category,All Vehicles/Agents,Avg NOx (g/vehicle/mile), 0.40
Category,All Vehicles/Agents,Avg CO (g/vehicle/mile),19.02
Category,All Vehicles/Agents,Avg HC (g/vehicle/mile), 0.14
Category,All Vehicles/Agents,Avg Miles per Gallon, 1.22
Category,SOV  HOV  Truck,Number of Vehicles,164.00
Category,SOV  HOV  Truck,Cumulative Number of Vehicles,164.00
Category,SOV  HOV  Truck,Total Travel Time (min),1788.30
Category,SOV  HOV  Truck,Total Travel Distance (mile),248.28
Category,SOV  HOV  Truck,Avg Travel Time (min),10.90
Category,SOV  HOV  Truck,Avg Travel Distance (mile), 1.51
Category,SOV  HOV  Truck,Avg Speed (mile/hour), 8.33
Category,SOV  HOV  Truck,Avg Travel Time Per Mile (min/mile), 7.20
Category,SOV  HOV  Truck,Travel Time Index: mean/FFTT, 4.32
Category,SOV  HOV  Truck,Avg Travel Time STD (min), 8.18
Category,SOV  HOV  Truck,95th Percentile Travel Time (min),26.00
Category,SOV  HOV  Truck,90th Percentile Travel Time (min),21.00
Category,SOV  HOV  Truck,80th Percentile Travel Time (min),15.00
Category,SOV  HOV  Truck,Planning Time Index: 95th percentile/FFTT,10.30
Category,SOV  HOV  Truck,Buffer Index: (95th percentile - mean)/mean, 1.38
Category,SOV  HOV  Truck,Skew Index: (90th %ile-median)/(median-10th %ile),1400.00
Category,SOV  HOV  Truck,Travel Time Per Mile STD (min/mile), 5.40
Category,SOV  HOV  Truck,95th Percentile Travel Time Per Mile (min/mile),17.17
Category,SOV  HOV  Truck,90th Percentile Travel Time Per Mile (min/mile),13.87
Category,SOV  HOV  Truck,80th Percentile Travel Time Per Mile (min/mile), 9.91
Category,SOV  HOV  Truck,Total Generalized Time:TT+Toll/VOT (min),26293.57
Category,SOV  HOV  Truck,Avg Generalized Travel Time:TT+Toll/VOT (min),160.33
Category,SOV  HOV  Truck,Total Energy (KJ),24748060.00
Category,SOV  HOV  Truck,Total CO2 (g),1778560.00
Category,SOV  HOV  Truck,Total NOx (g),98.75
Category,SOV  HOV  Truck,Total CO (g),4721.61
Category,SOV  HOV  Truck,Total HC (g),33.94
Category,SOV  HOV  Truck,Total Gallon,203.35
Category,SOV  HOV  Truck,Avg Energy (KJ/vehicle/mile),99678.14
Category,SOV  HOV  Truck,Avg CO2 (g/vehicle/mile),7163.53
Category,SOV  HOV  Truck,Avg NOx (g/vehicle/mile), 0.40
Category,SOV  HOV  Truck,Avg CO (g/vehicle/mile),19.02
Category,SOV  HOV  Truck,Avg HC (g/vehicle/mile), 0.14
