DTALite:
A Fast Open Source DTA Engine
Software Version =,1.1.0
Release Date=,Dec 10 2013
Simulation Date =,year: 2013,month:12,day:17,hour:10,min: 1
----------------------test1----------------------
Traffic Flow Model =,Newell's Cumulative Flow Count Model
Assignment method=,Fixed Switching Rate
Percentage of considering to switch routes=,15
Travel time difference for route switching=,5
Relative Travel Time Indifference Band (%) for route switching=,15
 
# of Nodes=,149
# of Prohibited Movements=,0
# of Pretimed Signals=,16
# of Actuated Signals=,0
# of Link Types=,11
# of Links=,378
# of Zones=,41
# of Activity Locations=,51
# of Vehicle Types=,5
# of Demand Types=,4
# of Pricing Types=,0
# of VOT Records=,47
Demand Load Mode=,demand meta database
# of incident records=0
# of link-based toll records=0
# of work zone records=0
# of VMS records=0
# of movement records=0
Reading demand file,input_demand.csv,cumulative # of agents=,12638,


Demand multiplier in setting file=,1
# of Vehicles to be simulated=,12638
# of Intra-zone Vehicles (not be simulated)=,377.973
Starting Time of Demand Loading (min)=,930
Ending Time of Demand Loading (min)=,1050
Output Emission data=,NO
# of assignment iterations=,0
# of CPU threads=,8
Iteration #,CPU Running Time,# of agents,Avg Travel Time (min),Avg Trip Time (min),Avg Waiting Time at Origin (min),Avg Trip Time Index=(Mean TT/Free-flow TT),Avg Speed (mph),% considering to switch,% switched,% completing trips,network clearance time (in min),Avg UE gap (min),Relative UE gap (%),ODME: number of data points,ODME: Absolute link count error,ODME: % link count error,ODME: slope,ODME: r_squared,ODME: avg_simulated_to_avg_obs,travel_time_15:30,travel_time_15:45,travel_time_16:00,travel_time_16:15,travel_time_16:30,travel_time_16:45,travel_time_17:00,travel_time_17:15,Avg UE gap_15:30,Avg UE gap_15:45,Avg UE gap_16:00,Avg UE gap_16:15,Avg UE gap_16:30,Avg UE gap_16:45,Avg UE gap_17:00,Avg UE gap_17:15,Relative UE gap_15:30,Relative UE gap_15:45,Relative UE gap_16:00,Relative UE gap_16:15,Relative UE gap_16:30,Relative UE gap_16:45,Relative UE gap_17:00,Relative UE gap_17:15,
1,00:00:01,12638,31.0575,36.502,5.44454,7.77064,5.75893,100,100,100,1175, , , , , , , , ,7.97694,15.4408,28.2392,39.3198,46.6769,41.4974,35.3419,29.2549, , , , , , , , , , , , , , , , ,

--Time Dependent Network MOE--,60 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,total_out_flow,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,avg_waiting_time_at_origin,
900,15:00,0,0,0,0,0,0,0,0,0,0,

--Time Dependent Network MOE--,30 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,total_out_flow,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,avg_waiting_time_at_origin,
930,15:30,28,0,28,840,2651.07,5.86919,1.17411,3.15603,32.2637,0.0299203,
960,16:00,3123,2006,1117,4800,15553.4,24.2838,4.80741,3.24029,8.00604,0.0106915,
990,16:30,6411,4409,2002,6690,19592.1,45.7691,10.0707,2.92857,3.83914,0.915311,
1020,17:00,9717,6473,3244,5280,15703.8,53.4735,11.4992,2.9742,3.3372,14.7724,
1050,17:30,12638,8311,4327,120,0,0,0,0,0,0,
1080,18:00,12638,9900,2738,0,0,0,0,0,0,0,
1110,18:30,12638,11300,1338,0,0,0,0,0,0,0,
1140,19:00,12638,12124,514,0,0,0,0,0,0,0,
1170,19:30,12638,12606,32,0,0,0,0,0,0,0,

--Time Dependent Network MOE--,15 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,total_out_flow,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,avg_waiting_time_at_origin,
930,15:30,28,0,28,420,1325.53,5.8692,1.17411,3.15603,32.2637,0.0299203,
945,15:45,1485,760,725,1800,5520.71,11.4698,2.43287,3.06706,16.0442,0.0164754,
960,16:00,3123,2006,1117,2400,7776.7,24.2838,4.80741,3.24029,8.00605,0.0106915,
975,16:15,4765,3219,1546,1965,6173.1,40.6147,8.25922,3.14153,4.64098,0.74061,
990,16:30,6411,4409,2002,3345,9796.07,45.7691,10.0707,2.92857,3.83914,0.91531,
1005,16:45,7992,5498,2494,1665,5072.87,55.9967,11.8893,3.04677,3.26459,6.17954,
1020,17:00,9717,6473,3244,2640,7851.89,53.4736,11.4992,2.9742,3.3372,14.7724,
1035,17:15,11346,7423,3923,2040,5923.24,45.4705,9.86624,2.90355,3.83134,15.0418,
1050,17:30,12638,8311,4327,60,0,0,0,0,0,0,
1065,17:45,12638,9108,3530,0,0,0,0,0,0,0,
1080,18:00,12638,9900,2738,0,0,0,0,0,0,0,
1095,18:15,12638,10652,1986,0,0,0,0,0,0,0,
1110,18:30,12638,11300,1338,0,0,0,0,0,0,0,
1125,18:45,12638,11791,847,0,0,0,0,0,0,0,
1140,19:00,12638,12124,514,0,0,0,0,0,0,0,
1155,19:15,12638,12382,256,0,0,0,0,0,0,0,
1170,19:30,12638,12606,32,0,0,0,0,0,0,0,

--Time Dependent Network MOE--,5 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,total_out_flow,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,avg_waiting_time_at_origin,
930,15:30,28,0,28,140,441.844,5.8692,1.17411,3.15603,32.2637,0.0299203,
935,15:35,406,63,343,545,1610.96,6.78006,1.45948,2.9559,26.1582,0.0176772,
940,15:40,1030,342,688,1000,2989.17,8.79174,1.87559,2.98917,20.3999,0.00775177,
945,15:45,1485,760,725,600,1840.24,11.4698,2.43287,3.06706,16.0442,0.0164754,
950,15:50,2029,1176,853,680,1942.67,12.1431,2.68386,2.85687,14.116,0.0181351,
955,15:55,2615,1588,1027,590,1949.01,18.8553,3.58943,3.30341,10.5119,0.0163528,
960,16:00,3123,2006,1117,800,2592.23,24.2838,4.80741,3.24029,8.00605,0.0106915,
965,16:05,3673,2412,1261,495,1361,26.4825,6.14489,2.74949,6.22937,0.0491993,
970,16:10,4216,2816,1400,835,2591.54,32.7074,6.69933,3.10365,5.69347,0.272703,
975,16:15,4765,3219,1546,655,2057.7,40.6147,8.25922,3.14153,4.64098,0.74061,
980,16:20,5306,3608,1698,680,2061.76,40.0924,8.34525,3.032,4.53752,0.832069,
985,16:25,5855,4005,1850,500,1507.66,44.5644,9.30745,3.01533,4.05973,0.894446,
990,16:30,6411,4409,2002,1115,3265.36,45.7691,10.0707,2.92857,3.83914,0.91531,
995,16:35,6965,4785,2180,745,2361.51,50.4224,10.3577,3.16981,3.77191,1.04387,
1000,16:40,7498,5156,2342,645,1905.67,53.8765,11.7642,2.95453,3.29033,1.42071,
1005,16:45,7992,5498,2494,555,1690.96,55.9967,11.8893,3.04677,3.26459,6.17954,
1010,16:50,8579,5821,2758,855,2583.74,51.4882,10.7237,3.02192,3.52149,7.84144,
1015,16:55,9133,6129,3004,620,1878.72,52.4722,10.9694,3.03019,3.4649,10.8924,
1020,17:00,9717,6473,3244,880,2617.3,53.4736,11.4992,2.9742,3.3372,14.7724,
1025,17:05,10185,6804,3381,325,1008.65,49.7003,10.143,3.10355,3.74672,12.5695,
1030,17:10,10777,7123,3654,625,1861.35,48.7703,10.4051,2.97816,3.6639,13.6695,
1035,17:15,11346,7423,3923,680,1974.41,45.4705,9.86624,2.90355,3.83134,15.0418,
1040,17:20,11895,7725,4170,640,1884.94,44.5174,9.64678,2.94522,3.96954,13.1752,
1045,17:25,12419,8023,4396,430,1244.3,41.4755,9.08644,2.89373,4.18617,15.7011,
