RECORDNAME,INTID,NBL2,NBL,NBT,NBR,NBR2,SBL2,SBL,SBT,SBR,SBR2,EBL2,EBL,EBT,EBR,EBR2,WBL2,WBL,WBT,WBR,WBR2,NEL,NET,NER,NWL,NWT,NWR,SEL,SET,SER,SWL,SWT,SWR,PED,HOLD,
Up Node,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,3,,110,110,110,,,111,111,111,,,40,40,40,,,35,35,35,,,,,,,,,,,,,,,,
Dest Node,3,,40,111,35,,,35,110,40,,,111,35,110,,,110,40,111,,,,,,,,,,,,,,,,
StreetName,3,,Cent,Cent,,,,Cent,Cent,,,,Cent,Cent,,,,Cent,Cent,,,,,,,,,,,,,,,,,
TurnVolume,3,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Lanes,3,,7,7,0,,,7,7,0,,,7,7,0,,,7,7,0,,,,,,,,,,,,,,,,
Shared,3,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Width,3,,12,12,12,,,12,12,12,,,12,12,12,,,12,12,12,,,,,,,,,,,,,,,,
Storage,3,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
StLanes,3,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Grade,3,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Speed,3,,21,21,21,,,21,21,21,,,21,21,21,,,21,21,21,,,,,,,,,,,,,,,,
Up Node,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,6,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,6,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,6,,,Cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,6,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,6,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,6,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
