name,link_id,from_node_id,to_node_id,count_sensor_id,link_type_name,direction,length_in_mile,number_of_lanes,speed_limit_in_mph,saturation_flow_rate_in_vhc_per_hour_per_lane,lane_capacity_in_vhc_per_hour,link_type,jam_density_in_vhc_pmpl,wave_speed_in_mph,effective_green_time_length_in_second,green_start_time_in_second,AADT_conversion_factor,mode_code,grade,geometry,KML_green_height,KML_red_height,KML_blue_height,KML_yellow_leightnumber_of_left_turn_bays,length_of_bays_in_feet,left_turn_capacity_in_veh_per_hour,from_approach,to_approach,reversed_link_id,h0_link_volume,h1_link_volume,h2_link_volume,h3_link_volume,h4_link_volume,h5_link_volume,h6_link_volume,h7_link_volume,h8_link_volume,h9_link_volume,h10_link_volume,h11_link_volume,h12_link_volume,h13_link_volume,h14_link_volume,h15_link_volume,h16_link_volume,h17_link_volume,h18_link_volume,h19_link_volume,h20_link_volume,h21_link_volume,h22_link_volume,h23_link_volume,h0_speed,h1_speed,h2_speed,h3_speed,h4_speed,h5_speed,h6_speed,h7_speed,h8_speed,h9_speed,h10_speed,h11_speed,h12_speed,h13_speed,h14_speed,h15_speed,h16_speed,h17_speed,h18_speed,h19_speed,h20_speed,h21_speed,h22_speed,h23_speed,h0_travel_time,h1_travel_time,h2_travel_time,h3_travel_time,h4_travel_time,h5_travel_time,h6_travel_time,h7_travel_time,h8_travel_time,h9_travel_time,h10_travel_time,h11_travel_time,h12_travel_time,h13_travel_time,h14_travel_time,h15_travel_time,h16_travel_time,h17_travel_time,h18_travel_time,h19_travel_time,h20_travel_time,h21_travel_time,h22_travel_time,h23_travel_time
Cent,1285,1285,5018,1285->5018,Zonal connector,1,0.2384,7,21.2,2000,1428.6,1,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.943373,40.616419,0.0 -111.938852,40.616702,0.0</coordinates></LineString>",10,100,300,1000,0,0,0,0,0,50180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3
Cent,1286,1286,11125,1286->11125,Zonal connector,1,0.466,7,21.2,2000,1428.6,1,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.934237,40.630775,0.0 -111.934004,40.624022,0.0</coordinates></LineString>",10,100,300,1000,0,0,0,0,0,111250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96
Cent,1289,1289,4952,1289->4952,Zonal connector,1,0.2427,7,21.2,2000,1428.6,1,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.933868,40.616672,0.0 -111.929251,40.616639,0.0</coordinates></LineString>",10,100,300,1000,0,0,0,0,0,49520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56,14.56
Cent,1289,1289,5018,1289->5018,Zonal connector,1,0.2621,7,21.2,2000,1428.6,1,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.933868,40.616742,0.0 -111.938854,40.616772,0.0</coordinates></LineString>",10,100,300,1000,0,0,0,0,0,50180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73,15.73
Cent,1289,1289,11124,1289->11124,Zonal connector,1,0.5069,7,21.2,2000,1428.6,1,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.933901,40.616697,0.0 -111.931852,40.609517,0.0</coordinates></LineString>",10,100,300,1000,0,0,0,0,0,111240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41,30.41
Cent,1289,1289,11125,1289->11125,Zonal connector,1,0.5047,7,21.2,2000,1428.6,1,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.933833,40.616707,0.0 -111.933935,40.624024,0.0</coordinates></LineString>",10,100,300,1000,0,0,0,0,0,111250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28,30.28
Cent,1290,1290,4952,1290->4952,Zonal connector,1,0.2516,7,21.2,2000,1428.6,1,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.924506,40.617169,0.0 -111.929254,40.616708,0.0</coordinates></LineString>",10,100,300,1000,0,0,0,0,0,49520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1
Cent,1296,1296,5240,1296->5240,Zonal connector,1,0.2056,7,21.2,2000,1428.6,1,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.915629,40.613688,0.0 -111.911920,40.614635,0.0</coordinates></LineString>",10,100,300,1000,0,0,0,0,0,52400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34,12.34
Cent,1299,1299,4958,1299->4958,Zonal connector,1,0.1988,7,21.2,2000,1428.6,1,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.908028,40.616197,0.0 -111.910206,40.618553,0.0</coordinates></LineString>",10,100,300,1000,0,0,0,0,0,49580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93
Cent,1299,1299,11129,1299->11129,Zonal connector,1,0.3637,7,21.2,2000,1428.6,1,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.908088,40.616171,0.0 -111.907673,40.610908,0.0</coordinates></LineString>",10,100,300,1000,0,0,0,0,0,111290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82
