  Iteration,0,direction,link name,link_type,Link from node,->,to node,time start time in min->end time in min,,observed link count,simulated link count, Error:, Simulated flow count -  Obs flow count,Abosolute Percentage Error ,,Lane Flow Error /h=,Capacity ,obs voc,simu VOC
Iteration,0,,1,Minor arterial,Link 4804,->,5109,time 16:30->17:30,Observed and simulated link count,214,151, Error:, -63,29.439 %,Lane Flow Error /h=, -63.000,666.400,0.321,0.227
Iteration,0,,1,Minor arterial,Link 4899,->,5030,time 16:30->17:30,Observed and simulated link count,471,51, Error:, -420,89.172 %,Lane Flow Error /h=, -210.000,633.000,0.744,0.081
Iteration,0,,1,Minor arterial,Link 4952,->,5022,time 16:30->17:30,Observed and simulated link count,443,141, Error:, -302,68.172 %,Lane Flow Error /h=, -302.000,666.400,0.665,0.212
Iteration,0,,1,Major arterial,Link 4958,->,5010,time 16:30->17:30,Observed and simulated link count,149,214, Error:, 65,43.624 %,Lane Flow Error /h=, 32.500,814.400,0.183,0.263
Iteration,0,,1,Major arterial,Link 5009,->,5027,time 16:30->17:30,Observed and simulated link count,683,203, Error:, -480,70.278 %,Lane Flow Error /h=, -240.000,814.400,0.839,0.249
Iteration,0,,1,Major arterial,Link 5010,->,4958,time 16:30->17:30,Observed and simulated link count,99,346, Error:, 247,249.495 %,Lane Flow Error /h=, 123.500,814.400,0.122,0.425
Iteration,0,,1,Major arterial,Link 5017,->,11123,time 16:30->17:30,Observed and simulated link count,1471,80, Error:, -1391,94.562 %,Lane Flow Error /h=, -695.500,814.400,1.806,0.098
Iteration,0,,1,Principal arterial,Link 5018,->,5436,time 16:30->17:30,Observed and simulated link count,1268,576, Error:, -692,54.574 %,Lane Flow Error /h=, -230.667,854.400,1.484,0.674
Iteration,0,,1,Minor arterial,Link 5022,->,4952,time 16:30->17:30,Observed and simulated link count,295,76, Error:, -219,74.237 %,Lane Flow Error /h=, -219.000,666.400,0.443,0.114
Iteration,0,,1,Major arterial,Link 5022,->,11124,time 16:30->17:30,Observed and simulated link count,1227,139, Error:, -1088,88.672 %,Lane Flow Error /h=, -544.000,814.400,1.507,0.171
