agent_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,departure_time,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,number_of_nodes
0,14,2,5037,11123,930.05,1,1,1,5.00,1,0,13,
1,21,18,6253,1286,930.05,1,1,1,20.00,1,0,29,
2,7,38,11281,1397,930.09,1,1,1,10.00,1,0,4,
3,16,14,11827,5037,930.19,1,1,1,30.00,1,0,10,
4,18,27,1286,1346,930.22,1,1,1,10.00,1,0,13,
5,28,26,1359,1323,930.28,1,1,1,10.00,1,0,12,
6,24,9,1325,5356,930.35,1,1,1,30.00,1,0,15,
7,21,17,6253,1289,930.39,1,1,1,40.00,1,0,27,
8,3,25,11159,1354,930.40,1,1,1,5.00,2,0,6,
9,27,1,1346,5577,930.43,1,1,1,10.00,1,0,12,
10,21,27,6253,1346,930.44,1,1,1,1.00,1,0,13,
11,5,10,11282,5929,930.46,1,1,1,20.00,1,0,13,
12,36,11,1299,5119,930.50,1,1,1,10.00,1,0,16,
13,13,37,5034,1349,930.51,1,1,1,30.00,1,0,18,
14,4,26,11180,1323,930.60,1,1,1,10.00,1,0,9,
15,24,30,1325,1360,930.66,1,1,1,15.00,1,0,9,
16,8,41,10847,5578,930.68,1,1,1,30.00,1,0,27,
17,21,31,6253,1314,930.73,1,1,1,20.00,1,0,25,
18,39,38,1404,1397,930.77,1,1,1,30.00,2,0,12,
19,24,41,1325,5578,930.80,1,1,1,20.00,1,0,24,
20,9,28,5356,1359,930.81,1,1,1,10.00,1,0,9,
21,38,16,1397,11827,930.84,1,1,1,15.00,2,0,19,
22,37,7,1349,11281,930.87,1,1,1,10.00,1,0,7,
23,3,11,11159,5119,930.88,1,1,1,20.00,1,0,15,
24,3,4,11159,11180,930.88,1,1,1,10.00,1,0,6,
25,3,41,11159,5578,930.89,1,1,1,60.00,1,0,11,
26,27,26,1346,1323,930.89,1,1,1,10.00,2,0,7,
27,19,3,1352,11159,930.92,1,1,1,30.00,1,0,7,
28,28,1,1359,5577,930.93,1,1,1,20.00,1,0,23,
29,15,31,4899,1316,930.96,1,1,1,15.00,1,0,15,
30,25,19,1354,1352,930.99,1,1,1,30.00,1,0,6,
31,5,36,11282,1299,931.00,1,1,1,30.00,1,0,21,
32,16,34,11827,1319,931.02,1,1,1,15.00,1,0,6,
33,18,32,1286,1285,931.03,1,1,1,60.00,1,0,5,
34,31,5,1316,11282,931.09,1,1,1,15.00,1,0,11,
35,12,39,11151,1404,931.15,1,1,1,30.00,1,0,13,
36,3,24,11159,1325,931.17,1,1,1,10.00,1,0,16,
37,3,9,11159,5356,931.18,1,1,1,20.00,1,0,20,
38,41,17,5578,1289,931.18,1,1,1,30.00,1,0,4,
39,35,18,1290,1286,931.19,1,1,1,1.00,1,0,5,
40,27,6,1346,5238,931.20,1,1,1,10.00,1,0,7,
41,1,11,5577,5119,931.32,1,1,1,15.00,1,0,23,
42,1,41,5577,5578,931.33,1,1,1,5.00,1,0,3,
