DTALite:
A Fast Open Source DTA Engine
Software Version =,1.1.0
Release Date=,Jan 11 2014
Simulation Date =,year: 2015,month:04,day:3,hour:22,min: 8
----------------------test1----------------------
Traffic Flow Model =,Newell's Cumulative Flow Count Model  + Emissions Output
Assignment method=,Fixed Switching Rate
Percentage of considering to switch routes=,15
Travel time difference for route switching=,5
Relative Travel Time Indifference Band (%) for route switching=,15
 
# of Nodes=,149
# of Prohibited Movements=,0
# of Pretimed Signals=,16
# of Actuated Signals=,0
# of Link Types=,11
# of Links=,378
# of Zones=,41
# of Activity Locations=,51
# of Vehicle Types=,5
# of Demand Types=,4
# of Pricing Types=,0
# of VOT Records=,47
Demand Load Mode=,demand meta database
# of incident records=0
# of link-based toll records=0
# of work zone records=0
# of VMS records=0
# of movement records=0

Demand multiplier in setting file=,1
# of Vehicles to be simulated=,12638
# of Intra-zone Vehicles (not be simulated)=,0
Starting Time of Demand Loading (min)=,930
Ending Time of Demand Loading (min)=,1050
Output Emission data=,YES
Output second by second speed data=,NO
Vehicle ID with second by second speed data=,0

--Link Type Statistics--
link_type,link_type_name,link_type_code,number_of_links,avg_lane_capacity,avg_number_of_lanes,avg_speed_limit,avg_link_length,avg_K_jam,total_link_length,
1,Zonal connector,c,114,1428.6,0.260518,20.386,0.260518,120,29.699,
2,Principal arterial,a,58,404.186,0.250786,37.4138,0.250786,120,14.5456,
3,Major arterial,a,80,469.397,0.206148,34.875,0.206148,120,16.4919,
4,Minor arterial,a,112,607.55,0.231265,27.4107,0.231265,120,25.9017,
5,Collector,a,14,514.5,0.277057,26,0.277057,120,3.8788,
7,Local,a,0,0,0,0,0,0,0,
8,Frontage road,a,0,0,0,0,0,0,0,
9,Ramp,r,0,0,0,0,0,0,0,
10,Freeway,f,0,0,0,0,0,0,0,
100,Transit link,t,0,0,0,0,0,0,0,
200,Walking link,w,0,0,0,0,0,0,0,
# of assignment iterations=,0
# of CPU threads=,8
link_type,link_type_name,link_type_code,number_of_links,avg_lane_capacity,avg_number_of_lanes,avg_speed_limit,avg_link_length,avg_K_jam,total_link_length,Iteration #,CPU Running Time,# of agents,Avg Travel Time (min),Avg Trip Time (min),Avg Waiting Time at Origin (min),Avg Trip Time Index=(Mean TT/Free-flow TT),Avg Speed (mph),% considering to switch,% switched,% completing trips,network clearance time (in min),Avg UE gap (min),Relative UE gap (%),ODME: number of data points,ODME: Absolute link count error,ODME: % link count error,ODME: slope,ODME: r_squared,ODME: avg_simulated_to_avg_obs,travel_time_15:30,travel_time_15:45,travel_time_16:00,travel_time_16:15,travel_time_16:30,travel_time_16:45,travel_time_17:00,travel_time_17:15,Avg UE gap_15:30,Avg UE gap_15:45,Avg UE gap_16:00,Avg UE gap_16:15,Avg UE gap_16:30,Avg UE gap_16:45,Avg UE gap_17:00,Avg UE gap_17:15,Relative UE gap_15:30,Relative UE gap_15:45,Relative UE gap_16:00,Relative UE gap_16:15,Relative UE gap_16:30,Relative UE gap_16:45,Relative UE gap_17:00,Relative UE gap_17:15,
 , , , , , , , , , ,1,00:00:01,12638,30.9708,36.5143,5.54348,7.77325,5.77505,0,0,100,1175, , , , , , , , ,7.97694,15.4408,28.2404,39.4415,46.6978,41.0297,35.1502,29.0971, , , , , , , , , , , , , , , , ,

--Time Dependent Network MOE--,60 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,total_out_flow,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,avg_waiting_time_at_origin,
900,15:00,0,0,0, ,0,0,0,0,0,0,

--Time Dependent Network MOE--,30 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,total_out_flow,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,avg_waiting_time_at_origin,
930,15:30,28,0,28, ,2651.07,5.86919,1.17411,3.15603,32.2637,0.0299203,
960,16:00,3123,2006,1117, ,15553.4,24.2838,4.80741,3.24029,8.00604,0.0106915,
990,16:30,6411,4409,2002, ,19592.1,45.935,10.1072,2.92857,3.82528,0.915311,
1020,17:00,9717,6473,3244, ,15703.8,53.4378,11.4915,2.9742,3.33943,15.1634,
1050,17:30,12638,8313,4325, ,0,0,0,0,0,0,
1080,18:00,12638,9897,2741, ,0,0,0,0,0,0,
1110,18:30,12638,11303,1335, ,0,0,0,0,0,0,
1140,19:00,12638,12123,515, ,0,0,0,0,0,0,
1170,19:30,12638,12607,31, ,0,0,0,0,0,0,

--Time Dependent Network MOE--,15 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,total_out_flow,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,avg_waiting_time_at_origin,
930,15:30,28,0,28, ,1325.53,5.8692,1.17411,3.15603,32.2637,0.0299203,
945,15:45,1485,760,725, ,5520.71,11.4698,2.43287,3.06706,16.0442,0.0164754,
960,16:00,3123,2006,1117, ,7776.7,24.2838,4.80741,3.24029,8.00605,0.0106915,
975,16:15,4765,3219,1546, ,6173.1,40.6261,8.26155,3.14153,4.63967,0.74061,
990,16:30,6411,4409,2002, ,9796.07,45.935,10.1072,2.92857,3.82528,0.91531,
1005,16:45,7992,5498,2494, ,5072.87,56.0994,11.9111,3.04677,3.25862,6.64891,
1020,17:00,9717,6473,3244, ,7851.89,53.4378,11.4915,2.9742,3.33943,15.1634,
1035,17:15,11346,7425,3921, ,5923.24,45.2212,9.81216,2.90355,3.85246,15.0425,
1050,17:30,12638,8313,4325, ,0,0,0,0,0,0,
1065,17:45,12638,9106,3532, ,0,0,0,0,0,0,
1080,18:00,12638,9897,2741, ,0,0,0,0,0,0,
1095,18:15,12638,10641,1997, ,0,0,0,0,0,0,
1110,18:30,12638,11303,1335, ,0,0,0,0,0,0,
1125,18:45,12638,11784,854, ,0,0,0,0,0,0,
1140,19:00,12638,12123,515, ,0,0,0,0,0,0,
1155,19:15,12638,12388,250, ,0,0,0,0,0,0,
1170,19:30,12638,12607,31, ,0,0,0,0,0,0,

--Time Dependent Network MOE--,5 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,total_out_flow,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,avg_waiting_time_at_origin,
930,15:30,28,0,28, ,441.844,5.8692,1.17411,3.15603,32.2637,0.0299203,
935,15:35,406,63,343, ,1610.96,6.78006,1.45948,2.9559,26.1582,0.0176772,
940,15:40,1030,342,688, ,2989.17,8.79175,1.87559,2.98917,20.3999,0.00775177,
945,15:45,1485,760,725, ,1840.24,11.4698,2.43287,3.06706,16.0442,0.0164754,
950,15:50,2029,1176,853, ,1942.67,12.1431,2.68386,2.85687,14.116,0.0181351,
955,15:55,2615,1588,1027, ,1949.01,18.8553,3.58943,3.30341,10.5119,0.0163528,
