from_zone_id,from_zone_id,#_of_simulated_vehicle_count,simulated_travel_time_in_min,#_of_obs_vehicle_count,obs_travel_time_in_min
1,1,0,00,0
1,2,15, 3.84,0,0
1,3,30, 7.11,0,0
1,4,2, 8.94,0,0
1,5,11,11.74,0,0
1,6,14,11.48,0,0
1,7,10,12.92,0,0
1,8,2,16.96,0,0
1,9,67,15.51,0,0
1,10,4,16.38,0,0
1,11,90,13.45,0,0
1,12,2, 8.26,0,0
1,13,46, 7.74,0,0
1,14,56, 5.67,0,0
1,15,21, 5.68,0,0
1,16,27, 2.73,0,0
1,17,20, 2.94,0,0
1,18,19, 2.90,0,0
1,19,26,10.12,0,0
1,20,19,12.33,0,0
1,21,52,15.55,0,0
1,22,26,14.90,0,0
1,23,12,15.28,0,0
1,24,67,11.46,0,0
1,25,5,10.20,0,0
1,26,9, 7.18,0,0
1,27,14, 8.21,0,0
1,28,21,13.07,0,0
1,29,0,00,0
1,30,9,14.01,0,0
1,31,28, 5.46,0,0
1,32,19, 2.47,0,0
1,33,8,10.63,0,0
1,34,46, 4.97,0,0
1,35,7, 4.13,0,0
1,36,10, 6.36,0,0
1,37,21, 8.21,0,0
1,38,19,12.71,0,0
1,39,7,14.78,0,0
1,40,4, 7.36,0,0
1,41,89, 1.42,0,0
2,1,16, 3.30,0,0
2,2,0,00,0
2,3,23, 5.10,0,0
2,4,1, 7.16,0,0
2,5,8, 9.38,0,0
2,6,10, 9.86,0,0
2,7,7,10.92,0,0
2,8,1,13.33,0,0
2,9,50,13.63,0,0
2,10,4,14.31,0,0
2,11,68,12.01,0,0
2,12,1, 7.17,0,0
2,13,34, 6.29,0,0
2,14,42, 7.34,0,0
2,15,16, 7.32,0,0
2,16,20, 4.96,0,0
2,17,15, 3.18,0,0
2,18,15, 5.62,0,0
2,19,19, 8.54,0,0
2,20,14,10.36,0,0
2,21,38,13.96,0,0
2,22,19,12.86,0,0
2,23,9,13.67,0,0
2,24,50, 9.75,0,0
2,25,4, 8.43,0,0
2,26,7, 5.37,0,0
2,27,11, 6.97,0,0
2,28,16,11.23,0,0
2,29,0,00,0
2,30,6,11.52,0,0
2,31,20, 4.04,0,0
2,32,14, 2.66,0,0
