sensor_id,x_coord,y_coord,from_node_id,to_node_id,count_sensor_id,day_no,unix_timestamp,start_time_in_min,end_time_in_min,sensor_type,direction,link_count,occupancy,travel_time,avg_speed
109,,,5010,4958,5010->4958,1,1/1/2010 0:00,990,1050,link_count,1,99,,,
110,,,4958,5010,4958->5010,1,1/1/2010 0:00,990,1050,link_count,1,149,,,
111,,,4952,5022,4952->5022,1,1/1/2010 0:00,990,1050,link_count,1,443,,,
112,,,5022,4952,5022->4952,1,1/1/2010 0:00,990,1050,link_count,1,295,,,
113,,,5018,5436,5018->5436,1,1/1/2010 0:00,990,1050,link_count,1,1268,,,
114,,,5436,5018,5436->5018,1,1/1/2010 0:00,990,1050,link_count,1,1902,,,
115,,,4804,5109,4804->5109,1,1/1/2010 0:00,990,1050,link_count,1,214,,,
117,,,5109,4804,5109->4804,1,1/1/2010 0:00,990,1050,link_count,1,321,,,
118,,,6270,6273,6270->6273,1,1/1/2010 0:00,990,1050,link_count,1,70,,,
119,,,6273,6270,6273->6270,1,1/1/2010 0:00,990,1050,link_count,1,106,,,
120,,,5103,5820,5103->5820,1,1/1/2010 0:00,990,1050,link_count,1,262,,,
121,,,5820,5103,5820->5103,1,1/1/2010 0:00,990,1050,link_count,1,612,,,
122,,,5113,11148,5113->11148,1,1/1/2010 0:00,990,1050,link_count,1,1228,,,
123,,,11148,5113,11148->5113,1,1/1/2010 0:00,990,1050,link_count,1,1842,,,
124,,,6185,8172,6185->8172,1,1/1/2010 0:00,990,1050,link_count,1,70,,,
125,,,8172,6185,8172->6185,1,1/1/2010 0:00,990,1050,link_count,1,106,,,
127,,,3000,1358,3000->1358,1,1/1/2010 0:00,990,1050,link_count,1,66,,,
128,,,1358,3000,1358->3000,1,1/1/2010 0:00,990,1050,link_count,1,100,,,
129,,,11507,5175,11507->5175,1,1/1/2010 0:00,990,1050,link_count,1,70,,,
131,,,5175,11507,5175->11507,1,1/1/2010 0:00,990,1050,link_count,1,106,,,
136,,,10847,5216,10847->5216,1,1/1/2010 0:00,990,1050,link_count,1,70,,,
137,,,5216,10847,5216->10847,1,1/1/2010 0:00,990,1050,link_count,1,106,,,
138,,,5219,11173,5219->11173,1,1/1/2010 0:00,990,1050,link_count,1,518,,,
140,,,11173,5219,11173->5219,1,1/1/2010 0:00,990,1050,link_count,1,777,,,
143,,,6256,5232,6256->5232,1,1/1/2010 0:00,990,1050,link_count,1,518,,,
144,,,5232,6256,5232->6256,1,1/1/2010 0:00,990,1050,link_count,1,777,,,
146,,,11281,5214,11281->5214,1,1/1/2010 0:00,990,1050,link_count,1,443,,,
156,,,5214,11281,5214->11281,1,1/1/2010 0:00,990,1050,link_count,1,665,,,
157,,,5210,11172,5210->11172,1,1/1/2010 0:00,990,1050,link_count,1,911,,,
158,,,11172,5210,11172->5210,1,1/1/2010 0:00,990,1050,link_count,1,1366,,,
160,,,5209,5211,5209->5211,1,1/1/2010 0:00,990,1050,link_count,1,869,,,
161,,,5211,5209,5211->5209,1,1/1/2010 0:00,990,1050,link_count,1,1304,,,
163,,,5238,5208,5238->5208,1,1/1/2010 0:00,990,1050,link_count,1,631,,,
201,,,5208,5238,5208->5238,1,1/1/2010 0:00,990,1050,link_count,1,947,,,
202,,,11261,5214,11261->5214,1,1/1/2010 0:00,990,1050,link_count,1,1117,,,
203,,,5214,11261,5214->11261,1,1/1/2010 0:00,990,1050,link_count,1,1676,,,
207,,,11282,5208,11282->5208,1,1/1/2010 0:00,990,1050,link_count,1,474,,,
208,,,5208,11282,5208->11282,1,1/1/2010 0:00,990,1050,link_count,1,710,,,
209,,,5216,5868,5216->5868,1,1/1/2010 0:00,990,1050,link_count,1,1513,,,
210,,,5868,5216,5868->5216,1,1/1/2010 0:00,990,1050,link_count,1,1009,,,
211,,,11257,11184,11257->11184,1,1/1/2010 0:00,990,1050,link_count,1,100,,,
212,,,11184,11257,11184->11257,1,1/1/2010 0:00,990,1050,link_count,1,66,,,
213,,,5729,5175,5729->5175,1,1/1/2010 0:00,990,1050,link_count,1,66,,,
214,,,5175,5729,5175->5729,1,1/1/2010 0:00,990,1050,link_count,1,100,,,
215,,,11181,11182,11181->11182,1,1/1/2010 0:00,990,1050,link_count,1,66,,,
216,,,11182,11181,11182->11181,1,1/1/2010 0:00,990,1050,link_count,1,100,,,
217,,,11180,5211,11180->5211,1,1/1/2010 0:00,990,1050,link_count,1,66,,,
