name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_capacity_in_vhc_per_hour,link_type,jam_density,wave_speed,mode_code,grade,geometry,original_geometry,BPR_alpha_term,BPR_beta_term,number_of_left_turn_lanes,length_of_left_turn_lanes,number_of_right_turn_lanes,length_of_right_turn_lanes,from_approach,to_approach,reversed_link_id,
Cent,0,1285->5018,114+04361,,1285,5018,Freeway,1,0.23840,7,21.0,1428.6,1,220.0,12.0,"",0.0,"<LineString><coordinates>-111.943374,40.616437,0.0 -111.938854,40.616720,0.0</coordinates></LineString>","<LineString><coordinates>-111.943375,40.616454,0.0 -111.938855,40.616737,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,0,0,0,
Cent,0,1286->11125,114+04362,,1286,11125,Freeway,1,0.46600,7,21.0,1428.6,1,220.0,12.0,"",0.0,"<LineString><coordinates>-111.934219,40.630775,0.0 -111.933987,40.624023,0.0</coordinates></LineString>","<LineString><coordinates>-111.934202,40.630776,0.0 -111.933970,40.624024,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,0,0,0,
Cent,0,1289->4952,114+04363,,1289,4952,Freeway,1,0.24270,7,21.0,1428.6,1,220.0,12.0,"",0.0,"<LineString><coordinates>-111.933868,40.616690,0.0 -111.929251,40.616657,0.0</coordinates></LineString>","<LineString><coordinates>-111.933868,40.616707,0.0 -111.929251,40.616674,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,0,0,0,
Cent,0,1289->5018,114+04364,,1289,5018,Freeway,1,0.26210,7,21.0,1428.6,1,220.0,12.0,"",0.0,"<LineString><coordinates>-111.933868,40.616724,0.0 -111.938855,40.616754,0.0</coordinates></LineString>","<LineString><coordinates>-111.933868,40.616707,0.0 -111.938855,40.616737,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,0,0,0,
Cent,0,1289->11124,114+04365,,1289,11124,Freeway,1,0.50690,7,21.0,1428.6,1,220.0,12.0,"",0.0,"<LineString><coordinates>-111.933884,40.616702,0.0 -111.931835,40.609521,0.0</coordinates></LineString>","<LineString><coordinates>-111.933868,40.616707,0.0 -111.931819,40.609526,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,0,0,0,
Cent,0,1289->11125,114+04366,,1289,11125,Freeway,1,0.50470,7,21.0,1428.6,1,220.0,12.0,"",0.0,"<LineString><coordinates>-111.933851,40.616707,0.0 -111.933953,40.624024,0.0</coordinates></LineString>","<LineString><coordinates>-111.933868,40.616707,0.0 -111.933970,40.624024,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,0,0,0,
Cent,0,1290->4952,114+04367,,1290,4952,Freeway,1,0.25160,7,21.0,1428.6,1,220.0,12.0,"",0.0,"<LineString><coordinates>-111.924504,40.617151,0.0 -111.929253,40.616691,0.0</coordinates></LineString>","<LineString><coordinates>-111.924502,40.617134,0.0 -111.929251,40.616674,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,0,0,0,
Cent,0,1296->5240,114+04369,,1296,5240,Freeway,1,0.20560,7,21.0,1428.6,1,220.0,12.0,"",0.0,"<LineString><coordinates>-111.915634,40.613706,0.0 -111.911925,40.614653,0.0</coordinates></LineString>","<LineString><coordinates>-111.915638,40.613722,0.0 -111.911929,40.614669,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,0,0,0,
Cent,0,1299->4958,114+04370,,1299,4958,Freeway,1,0.19880,7,21.0,1428.6,1,220.0,12.0,"",0.0,"<LineString><coordinates>-111.908042,40.616185,0.0 -111.910220,40.618540,0.0</coordinates></LineString>","<LineString><coordinates>-111.908054,40.616174,0.0 -111.910232,40.618529,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,0,0,0,
Cent,0,1299->11129,114+04371,,1299,11129,Freeway,1,0.36370,7,21.0,1428.6,1,220.0,12.0,"",0.0,"<LineString><coordinates>-111.908071,40.616173,0.0 -111.907656,40.610910,0.0</coordinates></LineString>","<LineString><coordinates>-111.908054,40.616174,0.0 -111.907639,40.610911,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,0,0,0,
Cent,0,1314->11146,114+04372,,1314,11146,Freeway,1,0.27580,7,21.0,1428.6,1,220.0,12.0,"",0.0,"<LineString><coordinates>-111.944075,40.606309,0.0 -111.938859,40.605881,0.0</coordinates></LineString>","<LineString><coordinates>-111.944074,40.606326,0.0 -111.938858,40.605898,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,0,0,0,
