zone_id,production,attraction,geometry
1,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.940667,-111.940667,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
2,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.940863,-111.940863,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
3,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.941048,-111.941048,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
4,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.941093,-111.941093,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
5,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.940593,-111.940593,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
6,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.937738,-111.937738,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
7,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.931171,-111.931171,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
8,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.904299,-111.904299,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
9,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.900051,-111.900051,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
10,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.898588,-111.898588,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
11,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.901473,-111.901473,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
12,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.907590,-111.907590,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
13,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.904500,-111.904500,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
14,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.905880,-111.905880,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
15,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.908640,-111.908640,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
16,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.930163,-111.930163,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
17,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.936410,-111.936410,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
18,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.935030,-111.935030,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
19,0.000000,0.000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.935729,-111.935729,0.0"</coordinates></LinearRing></outerBoundaryIs></Polygon>"
