link_key,start_time_in_min,end_time_in_min,link_hourly_volume,density,speed_per_hour,queue_length_percentage,inflow_count,out_flow_count
1285->5018,932,933,8.57,0.6,21,0,,
1285->5018,933,934,17.14,1.2,21,0,1,0
1285->5018,934,935,17.14,1.2,21,0,2,1
1285->5018,935,936,34.29,1.2,21,0,2,2
1285->5018,936,937,34.29,2.4,21,0,2,2
1285->5018,937,938,17.14,1.2,21,0,6,4
1285->5018,938,939,25.71,1.8,21,0,2,4
1285->5018,939,940,42.86,3,21,0,3,2
1285->5018,940,941,51.43,3.6,21,0,5,3
1285->5018,941,942,8.57,0.6,21,0,6,5
1285->5018,942,943,60,4.19,21,0,1,6
1285->5018,943,944,8.57,0.6,21,0,7,1
1285->5018,944,945,8.57,0.6,21,0,1,7
1285->5018,945,946,34.29,2.4,21,0,1,1
1285->5018,946,947,34.29,2.4,21,0,4,1
1285->5018,947,948,25.71,0.6,21,0,4,4
1285->5018,948,949,34.29,1.8,21,0,1,4
1285->5018,950,951,68.57,4.79,21,0,5,3
1285->5018,951,952,60,3,21,0,10,5
1285->5018,952,953,8.57,0.6,21,0,5,8
1285->5018,953,954,17.14,0.6,21,0,3,7
1285->5018,954,955,68.57,4.79,21,0,1,1
1285->5018,956,957,17.14,0.6,21,0,9,2
1285->5018,957,958,17.14,1.2,21,0,1,8
1285->5018,958,959,17.14,1.2,21,0,3,2
1285->5018,959,960,25.71,1.2,21,0,2,2
1286->11125,931,932,8.57,0.61,21,0,,
1286->11125,932,933,17.14,0.61,21,0,,
1286->11125,933,934,8.57,0.31,21,0,,
1286->11125,934,935,25.71,0.92,21,0,,
1286->11125,935,936,25.71,0.92,21,0,,
1286->11125,936,937,17.14,0.92,21,0,,
1286->11125,937,938,51.43,1.84,21,0,,
1286->11125,938,939,8.57,0.31,21,0,,
1286->11125,939,940,8.57,1.53,21,0,,
1286->11125,940,941,42.86,2.76,21,0,,
1286->11125,941,942,34.29,1.84,21,0,,
1286->11125,942,943,25.71,1.53,21,0,,
1286->11125,943,944,25.71,0.92,21,0,,
1286->11125,944,945,42.86,1.84,21,0,,
1286->11125,945,946,8.57,0.61,21,0,,
1286->11125,946,947,8.57,0.61,21,0,,
1286->11125,947,948,34.29,1.53,21,0,,
1286->11125,948,949,25.71,1.53,21,0,,
1286->11125,949,950,25.71,1.23,21,0,,
1286->11125,950,951,34.29,3.07,21,0,,
1286->11125,951,952,60,2.15,21,0,,
1286->11125,952,953,0,0.61,21,0,,
1286->11125,953,954,34.29,1.84,21,0,,
1286->11125,954,955,51.43,2.45,21,0,,
1286->11125,955,956,25.71,1.23,21,0,,
1286->11125,956,957,17.14,0.61,21,0,,
1286->11125,957,958,60,2.45,21,0,,
1286->11125,958,959,25.71,0.92,21,0,,
1286->11125,959,960,8.57,0.92,21,0,,
1289->4952,932,933,8.57,0.59,21,0,,
1289->4952,933,934,42.86,2.35,21,0,,
1289->4952,934,935,42.86,2.35,21,0,,
1289->4952,935,936,34.29,1.18,21,0,,
1289->4952,936,937,42.86,2.35,21,0,,
1289->4952,937,938,42.86,0.59,21,0,,
1289->4952,938,939,25.71,1.77,21,0,,
1289->4952,939,940,42.86,1.77,21,0,,
1289->4952,940,941,25.71,1.18,21,0,,
1289->4952,941,942,25.71,1.18,21,0,,
1289->4952,942,943,42.86,2.94,21,0,,
1289->4952,943,944,8.57,0.59,21,0,,
1289->4952,944,945,51.43,1.18,21,0,,
1289->4952,945,946,25.71,1.77,21,0,,
1289->4952,946,947,34.29,2.35,21,0,,
1289->4952,947,948,34.29,1.77,21,0,,
1289->4952,948,949,34.29,2.35,21,0,,
1289->4952,949,950,25.71,1.77,21,0,,
1289->4952,950,951,17.14,1.18,21,0,,
1289->4952,953,954,42.86,2.94,21,0,,
1289->4952,954,955,68.57,4.71,21,0,,
1289->4952,955,956,34.29,1.77,21,0,,
1289->4952,956,957,34.29,2.35,21,0,,
1289->4952,957,958,25.71,1.77,21,0,,
1289->4952,958,959,51.43,1.18,21,0,,
1289->4952,959,960,17.14,0.59,21,0,,
1289->5018,932,933,8.57,0.55,21,0,,
1289->5018,934,935,8.57,0.55,21,0,,
1289->5018,936,937,25.71,1.64,21,0,,
1289->5018,938,939,17.14,1.09,21,0,,
1289->5018,939,940,17.14,1.09,21,0,,
1289->5018,941,942,42.86,2.73,21,0,,
1289->5018,942,943,25.71,1.64,21,0,,
1289->5018,943,944,17.14,1.09,21,0,,
1289->5018,944,945,17.14,0.55,21,0,,
1289->5018,945,946,8.57,0.55,21,0,,
1289->5018,946,947,25.71,1.64,21,0,,
1289->5018,948,949,17.14,1.09,21,0,,
