time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
420,0,0,0,0,0,
421,8,0,8,8,39.6561,
422,28,0,28,20,30.5136,
423,43,0,43,15,30.1669,
424,65,1,64,22,36.289,
425,88,1,87,23,37.8727,
426,119,2,117,31,28.7224,
427,154,2,152,35,29.5842,
428,204,6,198,50,26.7104,
429,250,6,244,46,41.554,
430,287,11,276,37,42.2996,
431,321,11,310,34,45.6795,
432,352,17,335,31,38.2201,
433,389,17,372,37,37.1615,
434,415,31,384,26,62.0588,
435,459,31,428,44,37.169,
436,503,44,459,44,43.5989,
437,543,44,499,40,38.221,
438,589,65,524,46,63.1213,
439,630,65,565,41,63.5024,
440,668,79,589,38,34.8972,
441,702,79,623,34,93.2043,
442,740,110,630,38,86.1077,
443,774,110,664,34,61.3624,
444,821,135,686,47,92.0353,
445,861,135,726,40,72.655,
446,900,161,739,39,99.235,
447,946,161,785,46,107.335,
448,972,192,780,26,117.667,
449,1010,192,818,38,169.464,
450,1051,232,819,41,110.052,
451,1100,232,868,49,95.8512,
452,1144,269,875,44,117.45,
453,1177,269,908,33,198.074,
454,1216,304,912,39,106.815,
455,1250,304,946,34,94.2058,
456,1295,335,960,45,175.34,
457,1328,335,993,33,171.078,
458,1377,378,999,49,192.092,
459,1412,378,1034,35,97.4027,
460,1455,425,1030,43,143.159,
461,1491,425,1066,36,103.655,
462,1529,467,1062,38,165.353,
463,1571,467,1104,42,218.387,
464,1607,508,1099,36,153.499,
465,1653,508,1145,46,204.663,
466,1690,552,1138,37,119.747,
467,1722,552,1170,32,175.594,
468,1766,596,1170,44,193.116,
469,1809,596,1213,43,134.412,
470,1841,636,1205,32,224.485,
471,1885,636,1249,44,102.993,
472,1919,679,1240,34,163.936,
473,1962,679,1283,43,115.698,
474,2018,730,1288,56,149.99,
475,2051,730,1321,33,89.68,
476,2080,771,1309,29,152.126,
477,2127,771,1356,47,145.601,
478,2165,818,1347,38,190.337,
479,2195,818,1377,30,146.917,
480,2244,862,1382,49,180.085,
481,2282,862,1420,38,122.856,
482,2321,914,1407,39,131.87,
483,2375,914,1461,54,110.932,
484,2399,958,1441,24,65.2109,
485,2439,958,1481,40,145.212,
486,2474,1004,1470,35,172.687,
487,2515,1004,1511,41,188.62,
488,2552,1045,1507,37,113.916,
489,2583,1045,1538,31,99.7498,
490,2634,1087,1547,51,169.64,
491,2673,1087,1586,39,104.123,
492,2716,1134,1582,43,199.573,
493,2758,1134,1624,42,102.876,
494,2794,1180,1614,36,125.261,
495,2835,1180,1655,41,190.381,
496,2871,1227,1644,36,154.583,
497,2913,1227,1686,42,147.547,
498,2958,1273,1685,45,178.434,
499,2982,1273,1709,24,136.574,
500,3029,1318,1711,47,134.822,
501,3065,1318,1747,36,196.869,
502,3120,1358,1762,55,108.236,
503,3146,1358,1788,26,122.393,
504,3192,1397,1795,46,158.075,
505,3230,1397,1833,38,91.5019,
506,3274,1438,1836,44,147.043,
507,3317,1438,1879,43,162.682,
508,3353,1488,1865,36,140.167,
509,3372,1488,1884,19,84.6716,
510,3426,1528,1898,54,160.278,
511,3470,1528,1942,44,105.372,
512,3498,1569,1929,28,159.089,
513,3554,1569,1985,56,83.4118,
514,3578,1618,1960,24,141.371,
515,3622,1618,2004,44,57.3387,
516,3641,1670,1971,19,460.409,
517,3698,1670,2028,57,46.1446,
518,3745,1709,2036,47,128.177,
519,3787,1709,2078,42,83.7377,
520,3831,1751,2080,44,113.442,
521,3857,1751,2106,26,75.7346,
522,3896,1793,2103,39,175.13,
523,3943,1793,2150,47,78.6821,
524,3966,1837,2129,23,94.613,
525,4011,1837,2174,45,199.938,
526,4060,1882,2178,49,128.036,
527,4099,1882,2217,39,58.4314,
528,4137,1921,2216,38,151.915,
529,4188,1921,2267,51,100.051,
530,4219,1967,2252,31,118.621,
531,4257,1967,2290,38,80.4912,
532,4300,2004,2296,43,118.8,
533,4339,2004,2335,39,152.295,
534,4387,2056,2331,48,104.655,
535,4417,2056,2361,30,126.311,
536,4465,2098,2367,48,133.797,
537,4502,2098,2404,37,59.2033,
538,4543,2141,2402,41,114.604,
539,4575,2141,2434,32,120.157,
540,4631,2181,2450,56,104.685,
541,4658,2181,2477,27,278.698,
542,4701,2218,2483,43,104.812,
543,4731,2218,2513,30,114.96,
544,4778,2261,2517,47,72.2587,
545,4792,2261,2531,14,87.8472,
546,4865,2299,2566,73,184.948,
547,4899,2299,2600,34,124.307,
548,4924,2342,2582,25,116.012,
549,4972,2342,2630,48,113.33,
550,5016,2377,2639,44,128.083,
551,5058,2377,2681,42,155.329,
552,5094,2422,2672,36,85.1718,
553,5124,2422,2702,30,155.407,
554,5163,2456,2707,39,115.913,
555,5213,2456,2757,50,124.053,
556,5242,2489,2753,29,232.524,
557,5297,2489,2808,55,92.7463,
558,5331,2526,2805,34,156.09,
