  Iteration,0,direction,link name,link_type,Link from node,->,to node,time start time in min->end time in min,,observed link count,simulated link count, Error:, Simulated flow count -  Obs flow count,Abosolute Percentage Error ,,Lane Flow Error /h=,Capacity ,obs voc,simu VOC
Iteration,0,,,Major arterial,Link 4952,->,5022,time 16:30->17:30,Observed and simulated link count,452,85, Error:, -367,81.195 %,Lane Flow Error /h=, -367.000,666.400,0.678,0.128
Iteration,0,,,Highway,Link 5017,->,5018,time 16:30->17:30,Observed and simulated link count,1857,11, Error:, -1846,99.408 %,Lane Flow Error /h=, -615.333,854.400,2.173,0.013
Iteration,0,,,Highway,Link 5018,->,5017,time 16:30->17:30,Observed and simulated link count,1857,138, Error:, -1719,92.569 %,Lane Flow Error /h=, -573.000,854.400,2.173,0.162
Iteration,0,,,Major arterial,Link 5022,->,4952,time 16:30->17:30,Observed and simulated link count,452,0, Error:, -452,100.000 %,Lane Flow Error /h=, -452.000,666.400,0.678,0.000
Iteration,0,,,Highway,Link 5112,->,5589,time 16:30->17:30,Observed and simulated link count,2179,0, Error:, -2179,100.000 %,Lane Flow Error /h=, -1089.500,892.000,2.443,0.000
Iteration,0,,,Highway,Link 5112,->,11172,time 16:30->17:30,Observed and simulated link count,1334,0, Error:, -1334,100.000 %,Lane Flow Error /h=, -667.000,892.000,1.496,0.000
Iteration,0,,,Highway,Link 5113,->,11160,time 16:30->17:30,Observed and simulated link count,1306,0, Error:, -1306,100.000 %,Lane Flow Error /h=, -435.333,854.400,1.529,0.000
Iteration,0,,,Highway,Link 5208,->,5209,time 16:30->17:30,Observed and simulated link count,1273,23, Error:, -1250,98.193 %,Lane Flow Error /h=, -625.000,892.000,1.427,0.026
Iteration,0,,,Highway,Link 5209,->,5208,time 16:30->17:30,Observed and simulated link count,1273,0, Error:, -1273,100.000 %,Lane Flow Error /h=, -636.500,892.000,1.427,0.000
Iteration,0,,,Principal arterial,Link 5214,->,11261,time 16:30->17:30,Observed and simulated link count,1685,20, Error:, -1665,98.813 %,Lane Flow Error /h=, -832.500,814.400,2.069,0.025
Iteration,0,,,Principal arterial,Link 5216,->,5356,time 16:30->17:30,Observed and simulated link count,2267,8, Error:, -2259,99.647 %,Lane Flow Error /h=, -1129.500,773.600,2.930,0.010
Iteration,0,,,Principal arterial,Link 5356,->,5216,time 16:30->17:30,Observed and simulated link count,2267,0, Error:, -2267,100.000 %,Lane Flow Error /h=, -1133.500,773.600,2.930,0.000
Iteration,0,,,Highway,Link 5436,->,5578,time 16:30->17:30,Observed and simulated link count,1952,0, Error:, -1952,100.000 %,Lane Flow Error /h=, -650.667,854.400,2.285,0.000
Iteration,0,,,Principal arterial,Link 5436,->,11125,time 16:30->17:30,Observed and simulated link count,1540,6, Error:, -1534,99.610 %,Lane Flow Error /h=, -767.000,814.400,1.891,0.007
Iteration,0,,,Highway,Link 5578,->,5436,time 16:30->17:30,Observed and simulated link count,1952,60, Error:, -1892,96.926 %,Lane Flow Error /h=, -630.667,854.400,2.285,0.070
Iteration,0,,,Highway,Link 5589,->,5112,time 16:30->17:30,Observed and simulated link count,2179,0, Error:, -2179,100.000 %,Lane Flow Error /h=, -1089.500,892.000,2.443,0.000
Iteration,0,,,Principal arterial,Link 11125,->,5436,time 16:30->17:30,Observed and simulated link count,1540,194, Error:, -1346,87.403 %,Lane Flow Error /h=, -673.000,814.400,1.891,0.238
Iteration,0,,,Highway,Link 11160,->,5113,time 16:30->17:30,Observed and simulated link count,1306,0, Error:, -1306,100.000 %,Lane Flow Error /h=, -435.333,854.400,1.529,0.000
Iteration,0,,,Highway,Link 11172,->,5112,time 16:30->17:30,Observed and simulated link count,1334,0, Error:, -1334,100.000 %,Lane Flow Error /h=, -667.000,892.000,1.496,0.000
Iteration,0,,,Principal arterial,Link 11261,->,5214,time 16:30->17:30,Observed and simulated link count,1685,12, Error:, -1673,99.288 %,Lane Flow Error /h=, -836.500,814.400,2.069,0.015
