origin_zone_no,destination_zone_no,number_of_vehicles,number_of_vehicles_completing_trips,trip_time_in_min,distance_in_mile
2,1,194,194,82.5438,1.4541
2,3,20,20,140.4,2.0197
2,4,137,137,156.152,3.077
2,5,14,14,159.714,3.7874
2,6,16,16,162.625,4.1615
2,7,18,18,168.344,4.464
2,8,25,3,703.538,4.47457
2,9,22,3,708.551,4.53977
2,10,24,3,704.267,4.37234
2,11,26,14,318.064,3.87878
2,12,28,28,25.0714,2.2962
2,13,30,30,20,2.19614
2,19,151,151,154.96,3.3725
2,21,22,7,445.578,4.79744
2,28,3,1,609.428,3.8791
2,30,3,2,45.8089,4.07108
2,40,69,69,17.7536,2.1278
4,1,197,95,252.488,4.0067
4,2,17,9,235.222,3.077
4,3,22,12,227.632,1.5699
4,5,18,13,157.587,1.3162
4,6,20,15,169.467,1.6903
4,7,22,16,164.924,1.9928
4,8,196,140,410.559,3.0977
4,9,26,19,414.246,3.1629
4,10,28,11,641.655,2.5622
4,11,30,11,401.765,3.42898
4,12,32,16,220.352,4.45616
4,13,34,17,210.235,4.3561
4,19,276,203,166.773,0.901301
4,21,207,148,279.644,2.9192
4,28,13,4,378,3.4293
4,30,43,5,567.045,2.94286
4,40,32,16,213.352,4.28776
6,1,240,138,262.798,5.09119
6,2,21,14,232.656,4.1615
6,3,81,55,221.06,2.6544
6,4,43,43,133.942,1.6903
6,5,22,22,8.36819,0.9073
6,7,26,26,11.6962,1.5839
6,8,58,58,346.345,2.6888
6,9,30,30,350,2.754
6,10,32,9,632.99,3.29803
6,11,34,13,351.292,4.51348
6,12,36,22,236.644,5.54066
6,13,38,24,236.244,5.4406
6,19,52,52,92.7692,1.2922
6,21,101,101,232.474,2.5103
0,0,3,0,0,0
0,0,2,0,0,0
6,40,12,8,257.673,5.37226
8,1,259,18,432.436,5.63303
8,2,24,2,515.2,4.70333
8,3,66,5,485.791,3.19623
8,4,56,46,463.804,3.0977
8,5,26,23,414.704,2.3147
8,6,28,24,398.702,2.6888
8,7,30,26,402.495,1.9931
8,9,34,31,385.161,0.32
8,10,36,9,505.309,0.86403
8,11,38,3,369.792,1.79295
8,12,40,3,405.935,2.76055
8,13,42,3,408.698,3.31109
8,19,36,31,404.535,2.2061
8,21,77,69,396.069,0.8565
8,28,94,16,455.757,0.96286
8,30,8,1,783.357,1.24469
8,40,114,8,274.848,3.54435
10,1,296,39,574.668,5.5308
10,2,130,21,584.337,4.6011
10,3,64,11,633.846,3.094
10,4,77,15,104.318,2.5622
10,5,30,15,409.419,2.92393
10,6,32,15,401.546,3.29803
10,7,34,17,420.118,2.60233
10,8,72,36,394.406,0.86403
10,9,38,19,403.83,0.92923
10,11,42,7,482.052,1.69072
10,12,44,7,472.286,2.65832
10,13,46,6,421.085,3.20886
10,19,39,18,412.819,2.3054
10,21,39,19,406.942,1.46573
10,28,49,17,392.012,0.86063
10,30,5,2,402.569,1.14246
10,40,170,22,396.541,3.44212
12,1,324,32,243.394,2.95315
12,2,69,58,234.362,2.2962
12,3,60,35,375.013,3.39886
12,4,140,81,380.964,4.45616
12,5,34,20,396.6,5.16656
12,6,36,21,386.141,5.54066
12,7,38,10,482.154,4.15892
12,8,82,70,292.581,2.88168
12,9,42,36,291.231,2.94688
12,10,44,37,294.27,2.77945
12,11,46,40,215.6,1.7541
12,13,50,42,171.459,0.94014
12,19,41,11,490.727,3.56572
12,21,33,28,295.327,3.48338
12,28,31,27,287.931,1.93632
12,30,89,76,215.342,1.9464
12,40,72,61,174.367,1.1734
14,1,514,80,225.061,2.28772
14,2,95,79,216.234,2.82317
14,3,114,62,251.628,3.92583
14,4,76,41,258.433,4.98313
14,5,57,31,267.307,5.69353
14,6,60,33,270.369,6.06763
14,7,63,20,531.341,5.36805
14,8,227,169,230.214,4.09082
14,9,69,52,231.617,4.15601
14,10,72,54,230.745,3.98858
14,11,75,57,170.984,2.96323
14,12,78,64,167.26,1.59873
14,13,81,68,161.233,1.49867
14,19,122,66,257.263,5.27863
14,21,62,46,233.178,4.69251
14,28,46,35,227.923,3.14545
14,30,62,47,173.872,3.15553
14,40,50,43,158.328,1.10657
16,1,246,32,163.671,0.90448
16,2,79,10,157.688,1.98458
16,3,189,25,56.8947,2.95156
16,4,86,11,72.0063,4.00886
16,5,42,5,70.0465,4.71926
16,6,44,6,73.3333,5.09336
16,7,46,6,74.4351,5.39586
16,8,68,5,599.809,4.78387
16,9,50,3,515.294,4.84907
16,10,52,3,510.893,4.68164
16,11,54,7,70.2247,3.79279
16,12,56,7,47.7895,2.42829
16,13,60,8,44.0246,2.32823
16,19,26,3,69.3333,4.30436
16,21,115,15,403.632,5.10674
16,28,59,8,62.75,3.97501
16,30,45,6,76.7319,3.98509
16,40,46,6,32.4184,1.93613
18,1,281,266,261.011,0.9039
18,2,120,116,271.879,1.984
18,3,70,40,417.299,3.4793
18,4,128,64,399.104,4.5366
18,5,46,24,407.03,5.247
18,6,48,25,412.857,5.6211
18,7,50,25,402.06,5.9236
18,8,116,8,510.769,5.93417
18,9,54,4,603.364,5.99937
18,10,56,4,578.368,5.83194
18,11,60,60,319.4,4.34575
18,12,62,62,229.161,2.98125
18,13,64,64,223.719,2.88119
18,19,14,7,421.143,4.8321
18,21,37,3,302.842,6.25704
18,28,207,44,452.987,5.3387
18,30,60,60,323.233,4.53805
18,40,80,80,218.35,2.48909
