agent_id,trip_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,start_time_in_min,end_time_in_min,travel_time_in_min,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
0,0,14,1,5037,5577,421.22,444.00,22.78,1,1,1,5.00,1,5,2.29,
1,0,41,1,5578,5577,421.35,424.00,2.65,1,1,1,10.00,1,10,0.62,
2,0,24,1,1325,5577,421.42,480.00,58.58,1,1,1,20.00,1,15,4.00,
3,0,39,1,1404,5577,421.64,488.00,66.36,1,1,1,30.00,2,10,5.50,
4,0,37,1,1349,5577,421.70,446.00,24.30,1,1,1,20.00,1,5,3.67,
5,0,26,1,1323,5577,421.74,442.00,20.26,1,1,1,20.00,1,5,2.99,
6,0,33,3,1351,11159,421.83,434.00,12.17,1,1,1,40.00,2,5,1.87,
7,0,22,1,3689,5577,421.91,494.00,72.09,1,1,1,20.00,1,10,5.37,
8,0,12,1,11151,5577,421.94,460.00,38.06,1,1,1,15.00,1,5,2.95,
9,0,35,1,1290,5577,422.05,432.00,9.95,1,1,1,30.00,1,5,1.36,
10,0,41,4,5578,11180,422.12,448.00,25.88,1,1,1,5.00,1,15,4.26,
11,0,10,1,5929,5577,422.12,490.10,67.98,1,1,1,20.00,1,10,5.53,
12,0,31,1,1314,5577,422.18,432.00,9.82,1,1,1,15.00,1,5,1.72,
13,0,33,1,1351,5577,422.19,452.00,29.81,1,1,1,30.00,1,0,4.30,
14,0,18,1,1286,5577,422.23,428.00,5.77,1,1,1,20.00,1,5,0.90,
15,0,31,8,1314,10847,422.27,466.00,43.73,1,1,1,1.00,2,0,4.24,
16,0,4,19,11180,1352,422.27,428.00,5.73,1,1,1,15.00,1,5,0.90,
17,0,20,1,1356,5577,422.29,458.00,35.71,1,1,1,30.00,1,0,4.80,
18,0,8,1,10847,5577,422.42,510.00,87.58,1,1,1,10.00,1,10,5.63,
19,0,28,4,1359,11180,422.44,458.00,35.56,1,1,1,10.00,1,5,2.86,
20,0,14,1,5037,5577,422.45,446.00,23.55,1,1,1,5.00,1,5,2.29,
21,0,16,1,11827,5577,422.55,430.00,7.45,1,1,1,10.00,1,15,0.90,
22,0,6,1,5238,5577,422.61,456.10,33.49,1,1,1,15.00,2,5,5.09,
23,0,28,1,1359,5577,422.68,482.00,59.32,1,1,1,5.00,2,10,4.81,
24,0,41,1,5578,5577,422.71,426.00,3.29,1,1,1,10.00,1,5,0.62,
25,0,37,2,1349,11123,422.74,442.00,19.26,1,1,1,15.00,2,15,2.74,
26,0,14,8,5037,10847,422.76,460.00,37.24,1,1,1,1.00,2,15,4.09,
27,0,24,1,1325,5577,422.84,492.00,69.16,1,1,1,20.00,2,10,4.00,
28,0,18,28,1286,1359,423.03,472.00,48.97,1,1,1,20.00,2,15,5.34,
29,0,4,21,11180,6253,423.03,442.00,18.97,1,1,1,5.00,2,10,2.92,
30,0,4,1,11180,5577,423.18,448.10,24.92,1,1,1,1.00,1,5,4.01,
31,0,4,8,11180,10847,423.20,446.00,22.80,1,1,1,15.00,1,5,3.10,
32,0,2,1,11123,5577,423.23,430.00,6.77,1,1,1,10.00,1,5,1.45,
33,0,39,1,1404,5577,423.27,494.00,70.73,1,1,1,20.00,1,0,5.50,
34,0,16,3,11827,11159,423.32,446.00,22.68,1,1,1,30.00,2,15,2.95,
35,0,37,1,1349,5577,423.41,446.00,22.59,1,1,1,30.00,2,15,3.67,
36,0,26,1,1323,5577,423.47,444.00,20.53,1,1,1,5.00,1,15,2.99,
