count_sensor_id,day_no,start_time_in_min,end_time_in_min,count,density,speed,unix_timestamp_reference
VID1,1,990,1050,2267.8,,,
VID2,1,990,1050,2267.8,,,
VID3,1,990,1050,1685.5,,,
VID4,1,990,1050,1685.5,,,
VID5,1,990,1050,1273,,,
VID6,1,990,1050,1273,,,
VID7,1,990,1050,1334.2,,,
VID8,1,990,1050,1334.2,,,
VID9,1,990,1050,1306.2,,,
VID10,1,990,1050,1306.2,,,
VID11,1,990,1050,1857,,,
VID12,1,990,1050,1857,,,
VID13,1,990,1050,452.5,,,
VID14,1,990,1050,452.5,,,
VID15,1,990,1050,1540,,,
VID16,1,990,1050,1540,,,
VID17,1,990,1050,1952.2,,,
VID18,1,990,1050,1952.2,,,
VID19,1,990,1050,2179.2,,,
VID20,1,990,1050,2179.2,,,
