speed_sensor_id,day_no,Min_0,Min_15,Min_30,Min_45,Min_60,Min_75,Min_90,Min_105,Min_120,Min_135,Min_150,Min_165,Min_180,Min_195,Min_210,Min_225,Min_240,Min_255,Min_270,Min_285,Min_300,Min_315,Min_330,Min_345,Min_360,Min_375,Min_390,Min_405,Min_420,Min_435,Min_450,Min_465,Min_480,Min_495,Min_510,Min_525,Min_540,Min_555,Min_570,Min_585,Min_600,Min_615,Min_630,Min_645,Min_660,Min_675,Min_690,Min_705,Min_720,Min_735,Min_750,Min_765,Min_780,Min_795,Min_810,Min_825,Min_840,Min_855,Min_870,Min_885,Min_900,Min_915,Min_930,Min_945,Min_960,Min_975,Min_990,Min_1005,Min_1020,Min_1035,Min_1050,Min_1065,Min_1080,Min_1095,Min_1110,Min_1125,Min_1140,Min_1155,Min_1170,Min_1185,Min_1200,Min_1215,Min_1230,Min_1245,Min_1260,Min_1275,Min_1290,Min_1305,Min_1320,Min_1335,Min_1350,Min_1365,Min_1380,Min_1395,Min_1410,Min_1425
114+04361,1,61.33333333,60.66666667,60,60,59.66666667,60,59.33333333,59.66666667,59.33333333,60,60,60,59.66666667,59.33333333,59,59.33333333,59.66666667,60.66666667,60.33333333,61,62,62,62,61.33333333,60.33333333,59.66666667,59.33333333,55.66666667,50.33333333,49,49.33333333,54.33333333,59.66666667,59.66666667,59.33333333,59.66666667,58.66666667,58,57.66666667,57.66666667,58.33333333,58.66666667,58.66666667,59,59,58.66666667,58.66666667,59,59,59,59,59,59,59.33333333,59.66666667,59.33333333,59.33333333,59.33333333,59.33333333,59.33333333,60,60,60.33333333,61.33333333,61,61.33333333,61.33333333,61.33333333,61.66666667,61,61,61,59.66666667,60,59.66666667,58.66666667,59,59,58.33333333,57.66666667,58,58.33333333,57.66666667,58.66666667,58,58.66666667,59.33333333,60.33333333,60,59.66666667,59.66666667,59.33333333,61.33333333,60.66666667,61,59.66666667
114+04362,1,57.66666667,58.33333333,58.33333333,59,59.33333333,58.66666667,57,57.66666667,57.66666667,59,59.66666667,60,59.33333333,58.66666667,58.33333333,59,59.66666667,60,60.33333333,60.66666667,56.66666667,57.66666667,58,56.33333333,53.66666667,48.33333333,44.66666667,41.33333333,40.66666667,41.33333333,44.66666667,48.66666667,52.66666667,54.66666667,56.66666667,57,57,57,57,56.66666667,56.66666667,57,57,57,57,57.33333333,57.33333333,57.33333333,57.33333333,57,57,57,57.33333333,57.66666667,57.66666667,57.66666667,57.33333333,57.33333333,57.66666667,58,57.66666667,58,58.33333333,58.33333333,59.33333333,59,58.66666667,58.33333333,58,59,59.33333333,60,60.33333333,59.66666667,59,58.66666667,59,58.66666667,58,58,57.66666667,57.66666667,57.33333333,57.33333333,56.66666667,56.33333333,57,58,58.33333333,58.66666667,59,58.66666667,59,59.33333333,59,59.66666667
114+04363,1,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,59.33333333,61,59.33333333,61,58.33333333,59,55,56.66666667,57.33333333,57.33333333,57.66666667,57.66666667,57,58.66666667,58.66666667,59,58.66666667,58.66666667,58.66666667,58.33333333,57.66666667,57.33333333,57.66666667,57,57.66666667,58.33333333,58.66666667,58.66666667,59,58.33333333,58.33333333,58.33333333,57.66666667,57.66666667,58,57,57,57.66666667,56.33333333,55.66666667,57,57.66666667,59,59,58.33333333,60,59.66666667,60,60.66666667,59.66666667,59,59.66666667,58.66666667,59.33333333,61,61,61,61,61,61,60.33333333,61,61,61,60,59.66666667,59,59,58.33333333,58.66666667,61,61,61,61,61,61,61,61,61
114+04364,1,56.66666667,57,57.66666667,57.66666667,58.33333333,59,59.33333333,59.66666667,59.66666667,59,58,57.33333333,58,57.66666667,57.66666667,58,59,59.33333333,58.66666667,59.66666667,60,61,61,60.66666667,59.66666667,59,58.66666667,58.33333333,58,57.66666667,58,58.66666667,59,59,59.66666667,59.33333333,59,59,59,59,59.33333333,59.33333333,59.66666667,60.33333333,60,59.66666667,59.33333333,59,58.66666667,58.66666667,58.66666667,58.66666667,59,59,59,59.33333333,59,59,58.66666667,59,59,59.33333333,60,60,60,60.66666667,60,60,60,59.33333333,60,60.33333333,59.66666667,60.66666667,60.33333333,59.66666667,59.66666667,59.66666667,59.66666667,59.66666667,59.33333333,59,60,59.66666667,58.66666667,59.66666667,58.66666667,58.66666667,59.33333333,59.33333333,59.66666667,59.33333333,60,58,56.66666667,57
114+04365,1,58.33333333,60,59.66666667,59.33333333,59,60.33333333,57.33333333,57.33333333,59.66666667,59.33333333,60.33333333,59.66666667,59.66666667,59.33333333,58.33333333,60.33333333,60.33333333,60,57.33333333,58.33333333,59,61,60.66666667,60.33333333,60,59.66666667,59.66666667,59.66666667,58.66666667,58.66666667,58.66666667,59,59.33333333,59.33333333,59,58.66666667,58.66666667,58.33333333,58.66666667,59,58.66666667,59.33333333,59.33333333,59.33333333,59.33333333,59,59,59,58.66666667,58.66666667,58.33333333,58.33333333,58.66666667,58.66666667,59.33333333,59.33333333,59,58.66666667,59,59.33333333,59.33333333,59.33333333,59.66666667,59.66666667,59.33333333,59.66666667,59.33333333,59.33333333,59.33333333,59,59.33333333,59.66666667,60.33333333,60.66666667,60.66666667,60,59.66666667,59.33333333,59.33333333,59.66666667,58.66666667,58.66666667,59.33333333,58.66666667,58,58.33333333,58,59.33333333,59.66666667,60.33333333,60,58.66666667,58,57.66666667,58.66666667,59
114+04366,1,57.33333333,58,58.33333333,58.66666667,58.66666667,59,59,58.33333333,58.66666667,57.66666667,58.33333333,58,57.33333333,57.66666667,57.33333333,57.33333333,59,58.66666667,58.66666667,58.33333333,59,60.33333333,60.66666667,60.33333333,60,59.33333333,59.33333333,58.33333333,58.33333333,58.66666667,58.66666667,58.66666667,58.66666667,59,58.66666667,58.66666667,59,58.66666667,58.66666667,59,58.33333333,59,59,59,59,58.66666667,58.66666667,58.33333333,58.66666667,58,58,58,58,59,58.66666667,58.33333333,59,59,59,59.33333333,59,59,59.33333333,59.66666667,59.66666667,59.66666667,59.66666667,59.33333333,59,59,59,59.66666667,59.66666667,60.33333333,60,59.33333333,59.33333333,59,58.66666667,59,59,59,59.33333333,59,58.33333333,58.33333333,58,58,58.66666667,59,58.33333333,56.66666667,56,56.33333333,57.33333333,57.66666667
114+04367,1,54.33333333,57,56,56,58.33333333,58.33333333,55.33333333,57,56.33333333,60,59.66666667,61,59,57,61,55.66666667,57.33333333,56,56.33333333,57.33333333,57.66666667,57.33333333,57.33333333,57.33333333,56.33333333,56.66666667,56,53,55,52,53,54,52.66666667,52.33333333,50.33333333,45.66666667,43,44.33333333,46.33333333,48.66666667,51.33333333,50,51.66666667,53.66666667,50.66666667,55,54.66666667,54.66666667,55,50.66666667,50.66666667,51,51.33333333,53,55.33333333,51.66666667,49.66666667,53.66666667,52.66666667,52,52,51.33333333,53.33333333,56.66666667,56.33333333,56.33333333,57,57,57.33333333,57.33333333,57.66666667,58,57.66666667,57.66666667,57.33333333,56.33333333,57.33333333,57.33333333,56.33333333,56,55.33333333,55.33333333,55.33333333,55.33333333,56.33333333,56,56.66666667,56.33333333,56.33333333,57.33333333,57.33333333,57.66666667,58.66666667,58.33333333,59,58.66666667
114+04369,1,49,51.33333333,49.33333333,48.66666667,50.33333333,50,48,49.66666667,49,49.66666667,49.33333333,48,47,45.66666667,45.33333333,46.33333333,46,47.66666667,52.66666667,53,54,53.66666667,51.66666667,50,48.66666667,47.33333333,46.33333333,42.66666667,42.66666667,43.66666667,45,45,45.33333333,45.33333333,45.66666667,45.66666667,46.33333333,45.66666667,45.66666667,46,46.66666667,47.33333333,48,49,48.33333333,48,47.33333333,47.33333333,46.66666667,46.33333333,46,46.33333333,46.33333333,46.66666667,46.33333333,45,43.66666667,43.33333333,42.66666667,42.66666667,41.66666667,40,35.66666667,33.66666667,32,31.33333333,30.33333333,29.33333333,29.33333333,29.66666667,30.66666667,33,36.33333333,41.33333333,44.66666667,47.66666667,49,50,51,50,51,50.66666667,50,50.66666667,50.33333333,51.33333333,50.33333333,47.66666667,50.33333333,49.33333333,50,52,50.66666667,52.33333333,53.66666667,53.33333333
114+04370,1,39,39.33333333,39,36.33333333,38.66666667,39.66666667,43.33333333,46,45.66666667,44.33333333,43,40,39.66666667,38.66666667,37.66666667,39,39.66666667,41.66666667,48.33333333,50.33333333,52.33333333,52.66666667,50.66666667,48.66666667,47,45.33333333,44.66666667,44,43.33333333,44,44,44.33333333,46,46.33333333,46.66666667,47,46.66666667,46,45.66666667,46,45.66666667,45.33333333,46,45.33333333,46.66666667,47,46.33333333,46,45.66666667,45.66666667,45.33333333,45.33333333,45,46.33333333,46.66666667,46.66666667,46.66666667,46.33333333,47.33333333,49.33333333,50.33333333,49.33333333,49.33333333,47.33333333,46.33333333,46.33333333,45,45,45.66666667,46.33333333,46.66666667,47.66666667,48.33333333,48.33333333,49.33333333,50,50.33333333,51.33333333,51.33333333,51.33333333,51.33333333,51,49.66666667,48,48.33333333,48.33333333,48.66666667,47.66666667,46,44.66666667,42.33333333,43,40,38,40.66666667,38.66666667
114+04371,1,45.33333333,45,45,43,46.66666667,48.66666667,48,47,47,46.33333333,47.33333333,47.33333333,46,45,44.66666667,46.66666667,45.66666667,47.66666667,53.66666667,55.33333333,56.66666667,56.66666667,55,54.33333333,52.33333333,51.33333333,50.66666667,51,50,50.33333333,50,50.66666667,51.33333333,52.66666667,52.66666667,52.33333333,52,51,51.66666667,51.66666667,51.66666667,51,51,51.66666667,52.33333333,53,53.33333333,52.33333333,52,51.33333333,52,52.33333333,52.66666667,52,52.66666667,52.33333333,53,53.33333333,54,54,53.66666667,52.33333333,50.33333333,50,49.66666667,50.66666667,51.66666667,51.33333333,52,51,51,52.33333333,52,53.66666667,54.33333333,53.66666667,53.33333333,53.66666667,54,54,54.33333333,54.66666667,53.66666667,53.33333333,52.66666667,53.33333333,53.33333333,53.66666667,53.33333333,52,50.66666667,51,46.33333333,45.66666667,46,44.66666667
