timing_plan_name,node_id,QEM_reference_node_id,CycleLength,Offset,up_node_id,dest_node_id,name,turn_type,turn_direction,prohibited_flag,protected_flag,permitted_flag,sim_turn_volume,sim_turn_hourly_volume,sim_turn_percentage,sim_turn_delay_in_second,obs_turn_volume,obs_turn_hourly_volume,obs_turn_percentage,obs_turn_delay_in_second,QEM_TurnVolume,LinkVolume,Lanes,Shared,Width,Storage,StLanes,Grade,Speed,IdealFlow,LostTime,Phase1,PermPhase1,DetectPhase1,EffectiveGreen,Capacity,VOC,Delay,LOS,SatFlowRatePerLaneGroup,GreenStartTime,GreenEndTime,geometry,
ALLDAY,1289, ,0,0,4952,5018, ,Through,WBT,0,0,0,657,109.5,82.6415,0.00578305,0,0,0,0,109,0,7,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1289, ,0,0,4952,11124, ,Left,WBL,0,0,0,56,9.33333,7.04402,0.00578725,0,0,0,0,9,0,7,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1289, ,0,0,4952,11125, ,Right,WBR,0,0,0,82,13.6667,10.3145,0.00578977,0,0,0,0,13,0,0,0,12,0,0,0,21.1765,1900,4,6,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1289, ,0,0,5018,4952, ,Through,EBT,0,0,0,114,19,44.5313,0.00876052,0,0,0,0,19,0,7,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1289, ,0,0,5018,11124, ,Right,EBR,0,0,0,44,7.33333,17.1875,0.00979802,0,0,0,0,7,0,0,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1289, ,0,0,5018,11125, ,Left,EBL,0,0,0,98,16.3333,38.2813,0.00887966,0,0,0,0,16,0,7,0,12,0,0,0,21.1765,1900,4,4,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1289, ,0,0,11124,4952, ,Right,NBR,0,0,0,222,37,43.3594,0.0133829,0,0,0,0,37,0,0,0,12,0,0,0,21.1765,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1289, ,0,0,11124,5018, ,Left,NBL,0,0,0,240,40,46.875,0.014489,0,0,0,0,40,0,7,0,12,0,0,0,21.1765,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1289, ,0,0,11124,11125, ,Through,NBT,0,0,0,50,8.33333,9.76563,0.0120822,0,0,0,0,8,0,7,0,12,0,0,0,21.1765,1900,4,2,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
ALLDAY,1289, ,0,0,11125,4952, ,Left,SBL,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,21.1765,1900,4,8,0,0,0,0,0,0, ,0,0,0,"<LineString><coordinates></coordinates></LineString>",,
