Vehicle Selection Mode,--,Network-wide,--
Category,All Vehicles/Agents,Number of Vehicles,63993.00
Category,All Vehicles/Agents,Cumulative Number of Vehicles,63993.00
Category,All Vehicles/Agents,Total Travel Time (min),13045191.00
Category,All Vehicles/Agents,Total Travel Distance (mile),165578.53
Category,All Vehicles/Agents,Avg Travel Time (min),203.85
Category,All Vehicles/Agents,Avg Travel Distance (mile), 2.59
Category,All Vehicles/Agents,Avg Speed (mile/hour), 0.76
Category,All Vehicles/Agents,Avg Travel Time Per Mile (min/mile),118.37
Category,All Vehicles/Agents,Travel Time Index: mean/FFTT,41.84
Category,All Vehicles/Agents,Avg Travel Time STD (min),171.01
Category,All Vehicles/Agents,95th Percentile Travel Time (min),462.82
Category,All Vehicles/Agents,90th Percentile Travel Time (min),428.88
Category,All Vehicles/Agents,80th Percentile Travel Time (min),377.00
Category,All Vehicles/Agents,Planning Time Index: 95th percentile/FFTT,94.99
Category,All Vehicles/Agents,Buffer Index: (95th percentile - mean)/mean, 1.27
Category,All Vehicles/Agents,Skew Index: (90th %ile-median)/(median-10th %ile), 1.06
Category,All Vehicles/Agents,Travel Time Per Mile STD (min/mile),148.87
Category,All Vehicles/Agents,95th Percentile Travel Time Per Mile (min/mile),466.22
Category,All Vehicles/Agents,90th Percentile Travel Time Per Mile (min/mile),295.85
Category,All Vehicles/Agents,80th Percentile Travel Time Per Mile (min/mile),186.41
Category,All Vehicles/Agents,Total Generalized Time:TT+Toll/VOT (min),13045191.00
Category,All Vehicles/Agents,Avg Generalized Travel Time:TT+Toll/VOT (min),203.85
Category,All Vehicles/Agents,Avg Miles per Gallon,165578.53
Category,SOV  HOV  Truck,Number of Vehicles,63993.00
Category,SOV  HOV  Truck,Cumulative Number of Vehicles,63993.00
Category,SOV  HOV  Truck,Total Travel Time (min),13045191.00
Category,SOV  HOV  Truck,Total Travel Distance (mile),165578.53
Category,SOV  HOV  Truck,Avg Travel Time (min),203.85
Category,SOV  HOV  Truck,Avg Travel Distance (mile), 2.59
Category,SOV  HOV  Truck,Avg Speed (mile/hour), 0.76
Category,SOV  HOV  Truck,Avg Travel Time Per Mile (min/mile),118.37
Category,SOV  HOV  Truck,Travel Time Index: mean/FFTT,41.84
Category,SOV  HOV  Truck,Avg Travel Time STD (min),171.01
Category,SOV  HOV  Truck,95th Percentile Travel Time (min),462.82
Category,SOV  HOV  Truck,90th Percentile Travel Time (min),428.88
Category,SOV  HOV  Truck,80th Percentile Travel Time (min),377.00
Category,SOV  HOV  Truck,Planning Time Index: 95th percentile/FFTT,94.99
Category,SOV  HOV  Truck,Buffer Index: (95th percentile - mean)/mean, 1.27
Category,SOV  HOV  Truck,Skew Index: (90th %ile-median)/(median-10th %ile), 1.06
Category,SOV  HOV  Truck,Travel Time Per Mile STD (min/mile),148.87
Category,SOV  HOV  Truck,95th Percentile Travel Time Per Mile (min/mile),466.22
Category,SOV  HOV  Truck,90th Percentile Travel Time Per Mile (min/mile),295.85
Category,SOV  HOV  Truck,80th Percentile Travel Time Per Mile (min/mile),186.41
Category,SOV  HOV  Truck,Total Generalized Time:TT+Toll/VOT (min),13045191.00
Category,SOV  HOV  Truck,Avg Generalized Travel Time:TT+Toll/VOT (min),203.85
Category,SOV  HOV  Truck,Avg Miles per Gallon,165578.53
Category,15-min Departure Time Interval,Number of Vehicles,
,,05:00_05:15,2170.00
,,05:15_05:30,2176.00
,,05:30_05:45,2166.00
,,05:45_06:00,2174.00
,,06:00_06:15,4267.00
,,06:15_06:30,4181.00
,,06:30_06:45,3962.00
,,06:45_07:00,3757.00
,,07:00_07:15,6170.00
,,07:15_07:30,5399.00
,,07:30_07:45,4498.00
,,07:45_08:00,3715.00
,,08:00_08:15,2884.00
,,08:15_08:30,2481.00
,,08:30_08:45,2121.00
,,08:45_09:00,1864.00
,,09:00_09:15,1748.00
,,09:15_09:30,1619.00
,,09:30_09:45,1508.00
,,09:45_10:00,1444.00
,,10:00_10:15,1037.00
,,10:15_10:30,887.00
,,10:30_10:45,892.00
,,10:45_11:00,873.00
Category,15-min Departure Time Interval,Cumulative Number of Vehicles,
,,05:00_05:15,2170.00
,,05:15_05:30,4346.00
,,05:30_05:45,6512.00
,,05:45_06:00,8686.00
,,06:00_06:15,12953.00
,,06:15_06:30,17134.00
,,06:30_06:45,21096.00
,,06:45_07:00,24853.00
,,07:00_07:15,31023.00
,,07:15_07:30,36422.00
,,07:30_07:45,40920.00
,,07:45_08:00,44635.00
,,08:00_08:15,47519.00
,,08:15_08:30,50000.00
,,08:30_08:45,52121.00
,,08:45_09:00,53985.00
,,09:00_09:15,55733.00
,,09:15_09:30,57352.00
,,09:30_09:45,58860.00
,,09:45_10:00,60304.00
,,10:00_10:15,61341.00
,,10:15_10:30,62228.00
,,10:30_10:45,63120.00
,,10:45_11:00,63993.00
Category,15-min Departure Time Interval,Total Travel Time (min),
,,05:00_05:15,13714.96
,,05:15_05:30,16279.40
