RECORDNAME,INTID,NBL2,NBL,NBT,NBR,NBR2,SBL2,SBL,SBT,SBR,SBR2,EBL2,EBL,EBT,EBR,EBR2,WBL2,WBL,WBT,WBR,WBR2,NEL,NET,NER,NWL,NWT,NWR,SEL,SET,SER,SWL,SWT,SWR,PED,HOLD,
Up Node,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,1289,,11124,11124,11124,,,11125,11125,11125,,,5018,5018,5018,,,4952,4952,4952,,,,,,,,,,,,,,,,
Dest Node,1289,,5018,11125,4952,,,4952,11124,5018,,,11125,4952,11124,,,11124,5018,11125,,,,,,,,,,,,,,,,
StreetName,1289,,Cent,Cent,,,,Cent,Cent,,,,Cent,Cent,,,,Cent,Cent,,,,,,,,,,,,,,,,,
TurnVolume,1289,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Lanes,1289,,7,7,0,,,7,7,0,,,7,7,0,,,7,7,0,,,,,,,,,,,,,,,,
Shared,1289,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Width,1289,,12,12,12,,,12,12,12,,,12,12,12,,,12,12,12,,,,,,,,,,,,,,,,
Storage,1289,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
StLanes,1289,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Grade,1289,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Speed,1289,,21.1765,21.1765,21.1765,,,21.1765,21.1765,21.1765,,,21.1765,21.1765,21.1765,,,21.1765,21.1765,21.1765,,,,,,,,,,,,,,,,
Up Node,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
