from_node_id,to_node_id,type_code,start_time_in_min,end_time_in_min,total_link_volume,lane_capacity_in_vhc_per_hour,volume_over_capacity_ratio,avg_waiting_time_on_loading_buffer_(min),speed_limit,speed,percentage_of_speed_limit,level_of_service,sensor_data_flag,sensor_link_volume,simulated_link_volume,measurement_error,abs_measurement_error_percentage,simulated_AADT,TotalEnergy_(J/hr),CO2_(g/hr),NOX_(g/hr),CO_(g/hr),HC_(g/hr),sov_volume,hov_volume,truck_volume,intermodal_volume,geometry,from_node_id,to_node_id,vol_d1,vol_d2,spd_d1,spd_d2,
1285,5018,f,300,660,1644,1428.6000,0.0274,67.6060,21.0000,0.2385,1,F,0,0.0000,1644,0.0000,0.0000,16440.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1644,0,0,0,"<LineString><coordinates>-111.943374,40.616438,0.0 -111.938854,40.616721,0.0</coordinates></LineString>",1285,5018,
5018,1285,f,300,660,990,1428.6000,0.0165,0.0000,21.0000,20.3659,97,A,0,0.0000,990,0.0000,0.0000,9900.0000,0.0000,0.0000,0.0000,0.0000,0.0000,990,0,0,0,"<LineString><coordinates>-111.938856,40.616752,0.0 -111.943376,40.616469,0.0</coordinates></LineString>",5018,1285,
1286,11125,f,300,660,3365,1428.6000,0.0561,248.0068,21.0000,0.1662,1,F,0,0.0000,3365,0.0000,0.0000,33650.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3365,0,0,0,"<LineString><coordinates>-111.934218,40.630776,0.0 -111.933985,40.624023,0.0</coordinates></LineString>",1286,11125,
11125,1286,f,300,660,550,1428.6000,0.0092,0.0000,21.0000,20.1362,96,A,0,0.0000,550,0.0000,0.0000,5500.0000,0.0000,0.0000,0.0000,0.0000,0.0000,550,0,0,0,"<LineString><coordinates>-111.933954,40.624024,0.0 -111.934187,40.630777,0.0</coordinates></LineString>",11125,1286,
1289,4952,f,300,660,983,1428.6000,0.0164,0.0411,21.0000,0.6284,3,F,0,0.0000,983,0.0000,0.0000,9830.0000,0.0000,0.0000,0.0000,0.0000,0.0000,983,0,0,0,"<LineString><coordinates>-111.933868,40.616691,0.0 -111.929251,40.616658,0.0</coordinates></LineString>",1289,4952,
4952,1289,f,300,660,1276,1428.6000,0.0213,0.0000,21.0000,20.5669,98,A,0,0.0000,1276,0.0000,0.0000,12760.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1276,0,0,0,"<LineString><coordinates>-111.929251,40.616689,0.0 -111.933868,40.616722,0.0</coordinates></LineString>",4952,1289,
1289,5018,f,300,660,2789,1428.6000,0.0465,53.4957,21.0000,0.3743,2,F,0,0.0000,2789,0.0000,0.0000,27890.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2789,0,0,0,"<LineString><coordinates>-111.933868,40.616722,0.0 -111.938855,40.616752,0.0</coordinates></LineString>",1289,5018,
5018,1289,f,300,660,1308,1428.6000,0.0218,0.0000,21.0000,19.9160,95,A,0,0.0000,1308,0.0000,0.0000,13080.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308,0,0,0,"<LineString><coordinates>-111.938855,40.616721,0.0 -111.933868,40.616691,0.0</coordinates></LineString>",5018,1289,
1289,11124,f,300,660,293,1428.6000,0.0049,0.0198,21.0000,0.4685,2,F,0,0.0000,293,0.0000,0.0000,2930.0000,0.0000,0.0000,0.0000,0.0000,0.0000,293,0,0,0,"<LineString><coordinates>-111.933883,40.616703,0.0 -111.931834,40.609522,0.0</coordinates></LineString>",1289,11124,
11124,1289,f,300,660,571,1428.6000,0.0095,0.0000,21.0000,20.9253,100,A,0,0.0000,571,0.0000,0.0000,5710.0000,0.0000,0.0000,0.0000,0.0000,0.0000,571,0,0,0,"<LineString><coordinates>-111.931804,40.609531,0.0 -111.933853,40.616711,0.0</coordinates></LineString>",11124,1289,
1289,11125,f,300,660,421,1428.6000,0.0070,0.0175,21.0000,0.8029,4,F,0,0.0000,421,0.0000,0.0000,4210.0000,0.0000,0.0000,0.0000,0.0000,0.0000,421,0,0,0,"<LineString><coordinates>-111.933852,40.616707,0.0 -111.933954,40.624024,0.0</coordinates></LineString>",1289,11125,
11125,1289,f,300,660,227,1428.6000,0.0038,0.0000,21.0000,20.7261,99,A,0,0.0000,227,0.0000,0.0000,2270.0000,0.0000,0.0000,0.0000,0.0000,0.0000,227,0,0,0,"<LineString><coordinates>-111.933985,40.624023,0.0 -111.933884,40.616707,0.0</coordinates></LineString>",11125,1289,
1290,4952,f,300,660,527,1428.6000,0.0088,0.0640,21.0000,0.3772,2,F,0,0.0000,527,0.0000,0.0000,5270.0000,0.0000,0.0000,0.0000,0.0000,0.0000,527,0,0,0,"<LineString><coordinates>-111.924504,40.617150,0.0 -111.929252,40.616689,0.0</coordinates></LineString>",1290,4952,
4952,1290,f,300,660,246,1428.6000,0.0041,0.0000,21.0000,20.5203,98,A,0,0.0000,246,0.0000,0.0000,2460.0000,0.0000,0.0000,0.0000,0.0000,0.0000,246,0,0,0,"<LineString><coordinates>-111.929249,40.616658,0.0 -111.924501,40.617118,0.0</coordinates></LineString>",4952,1290,
1296,5240,f,300,660,456,1428.6000,0.0076,19.1131,21.0000,0.1186,1,F,0,0.0000,456,0.0000,0.0000,4560.0000,0.0000,0.0000,0.0000,0.0000,0.0000,456,0,0,0,"<LineString><coordinates>-111.915634,40.613707,0.0 -111.911925,40.614654,0.0</coordinates></LineString>",1296,5240,
5240,1296,f,300,660,93,1428.6000,0.0015,0.0000,21.0000,20.2245,96,A,0,0.0000,93,0.0000,0.0000,930.0000,0.0000,0.0000,0.0000,0.0000,0.0000,93,0,0,0,"<LineString><coordinates>-111.911933,40.614684,0.0 -111.915641,40.613737,0.0</coordinates></LineString>",5240,1296,
