time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
300,101,0,101,202,6.60014,
301,254,7,247,306,5.66105,
302,393,25,368,278,5.85203,
303,542,71,471,298,5.40772,
304,686,132,554,288,6.0352,
305,832,209,623,292,6.31046,
306,969,295,674,274,6.85667,
307,1131,390,741,324,6.20158,
308,1276,495,781,290,5.94238,
309,1421,601,820,290,6.37274,
310,1564,731,833,286,7.27874,
311,1707,851,856,286,6.74969,
312,1862,989,873,310,7.23426,
313,2024,1116,908,324,7.37959,
314,2160,1253,907,272,7.58933,
315,2265,1376,889,210,7.37443,
316,2409,1517,892,288,7.65021,
317,2574,1654,920,330,7.86386,
318,2723,1781,942,298,8.35375,
319,2880,1914,966,314,7.2869,
320,3019,2054,965,278,8.21341,
321,3167,2182,985,296,7.99145,
322,3307,2308,999,280,8.2813,
323,3461,2460,1001,308,7.99993,
324,3612,2604,1008,302,8.48817,
325,3774,2726,1048,324,8.08795,
326,3919,2861,1058,290,8.14837,
327,4057,3009,1048,276,9.31937,
328,4201,3154,1047,288,7.65911,
329,4336,3289,1047,270,9.38258,
330,4450,3416,1034,228,9.84432,
331,4590,3565,1025,280,8.25681,
332,4737,3695,1042,294,9.0332,
333,4872,3850,1022,270,9.97709,
334,5005,3986,1019,266,9.79891,
335,5162,4111,1051,314,8.91393,
336,5320,4234,1086,316,9.19879,
337,5479,4360,1119,318,9.58054,
338,5633,4499,1134,308,8.75999,
339,5775,4643,1132,284,10.3841,
340,5917,4782,1135,284,10.6297,
341,6061,4931,1130,288,10.5939,
342,6219,5077,1142,316,10.1463,
343,6382,5208,1174,326,10.0346,
344,6508,5337,1171,252,10.3281,
345,6629,5490,1139,242,11.3104,
346,6792,5636,1156,326,10.6115,
347,6939,5773,1166,294,13.0776,
348,7091,5918,1173,304,12.1205,
349,7244,6051,1193,306,10.9255,
350,7399,6182,1217,310,11.4123,
351,7545,6323,1222,292,11.8685,
352,7682,6460,1222,274,13.4416,
353,7817,6608,1209,270,11.0127,
354,7960,6738,1222,286,12.1758,
355,8106,6876,1230,292,13.2405,
356,8262,7016,1246,312,15.9705,
357,8398,7155,1243,272,14.0481,
358,8543,7289,1254,290,18.7674,
359,8679,7425,1254,272,16.0326,
360,8897,7553,1344,436,21.3567,
361,9199,7692,1507,604,18.7273,
362,9507,7840,1667,616,24.2352,
363,9782,7967,1815,550,25.093,
364,10090,8125,1965,616,26.4255,
365,10378,8259,2119,576,30.37,
366,10686,8416,2270,616,32.2685,
367,10976,8575,2401,580,44.6672,
368,11281,8750,2531,610,43.0797,
369,11552,8909,2643,542,40.7559,
370,11852,9060,2792,600,53.0772,
371,12139,9206,2933,574,51.6762,
372,12432,9365,3067,586,56.264,
373,12733,9534,3199,602,57.8242,
374,12978,9678,3300,490,54.7409,
375,13207,9834,3373,458,56.1241,
376,13513,9999,3514,612,56.5841,
377,13817,10162,3655,608,64.4601,
378,14106,10332,3774,578,66.1544,
379,14393,10475,3918,574,76.1965,
380,14695,10628,4067,604,89.5398,
381,14992,10796,4196,594,87.5181,
382,15281,10952,4329,578,96.7867,
383,15593,11120,4473,624,83.6696,
384,15858,11279,4579,530,95.6572,
385,16156,11419,4737,596,117.276,
386,16453,11569,4884,594,102.231,
387,16742,11709,5033,578,121.805,
388,17028,11862,5166,572,118.739,
389,17295,12009,5286,534,113.961,
390,17519,12162,5357,448,130.743,
391,17807,12305,5502,576,136.823,
392,18104,12471,5633,594,137.678,
393,18381,12622,5759,554,143.096,
394,18669,12764,5905,576,132.375,
395,18969,12928,6041,600,139.4,
396,19285,13089,6196,632,138.383,
397,19567,13243,6324,564,156.193,
398,19864,13384,6480,594,146.383,
399,20152,13542,6610,576,149.231,
400,20453,13675,6778,602,156.653,
401,20745,13818,6927,584,170.852,
402,21037,13943,7094,584,174.965,
403,21335,14090,7245,596,181.152,
404,21615,14233,7382,560,162.313,
405,21839,14380,7459,448,188.003,
406,22151,14525,7626,624,184.75,
407,22458,14678,7780,614,180.189,
408,22751,14827,7924,586,195.082,
409,23039,14973,8066,576,190.115,
410,23327,15123,8204,576,194.089,
411,23630,15267,8363,606,199.258,
412,23919,15413,8506,578,191.706,
413,24210,15551,8659,582,201.706,
414,24487,15684,8803,554,217.995,
415,24778,15812,8966,582,230.244,
416,25083,15962,9121,610,207.699,
417,25370,16100,9270,574,223.408,
418,25676,16248,9428,612,230.345,
419,25938,16384,9554,524,199.033,
420,26303,16509,9794,730,231.687,
421,26844,16651,10193,1082,220.765,
422,27373,16781,10592,1058,211.897,
423,27899,16912,10987,1052,218.37,
424,28397,17029,11368,996,219.594,
425,28926,17161,11765,1058,221.442,
426,29434,17290,12144,1016,237.54,
427,29940,17415,12525,1012,219.308,
428,30460,17544,12916,1040,225.439,
429,30987,17668,13319,1054,230.628,
430,31508,17791,13717,1042,240.275,
431,32026,17918,14108,1036,228.324,
432,32544,18056,14488,1036,240.508,
433,33063,18179,14884,1038,243.461,
434,33505,18301,15204,884,219.727,
435,33883,18427,15456,756,241.925,
436,34405,18544,15861,1044,229.499,
437,34930,18674,16256,1050,234.761,
438,35438,18806,16632,1016,225.685,
439,35937,18938,16999,998,223.016,
440,36480,19052,17428,1086,225.454,
441,36993,19172,17821,1026,239.296,
442,37499,19307,18192,1012,216.781,
443,38039,19419,18620,1080,211.227,
444,38547,19527,19020,1016,207.663,
445,39089,19629,19460,1084,205.365,
446,39592,19744,19848,1006,198.109,
447,40122,19853,20269,1060,210.353,
448,40635,19974,20661,1026,200.168,
449,41085,20074,21011,900,184.128,
450,41485,20190,21295,800,208.96,
451,42032,20298,21734,1094,192.077,
452,42549,20409,22140,1034,170.336,
453,43054,20519,22535,1010,180.071,
454,43559,20619,22940,1010,171.324,
455,44085,20721,23364,1052,174.752,
456,44602,20831,23771,1034,178.466,
457,45116,20918,24198,1028,170.408,
458,45644,21010,24634,1056,175.128,
459,46156,21108,25048,1024,164.726,
460,46658,21206,25452,1004,188.019,
461,47171,21297,25874,1026,172.45,
462,47682,21394,26288,1022,175.688,
463,48222,21496,26726,1080,169.646,
464,48660,21588,27072,876,153.344,
465,49052,21694,27358,784,172.903,
466,49575,21802,27773,1046,157.92,
467,50100,21898,28202,1050,161.783,
468,50602,21989,28613,1004,150.174,
469,51099,22089,29010,994,141.922,
470,51632,22181,29451,1066,137.294,
471,52156,22286,29870,1048,146.451,
472,52658,22394,30264,1004,137.094,
473,53182,22492,30690,1048,135.379,
474,53692,22568,31124,1020,130.217,
475,54220,22655,31565,1056,147.628,
476,54747,22757,31990,1054,125.013,
477,55264,22858,32406,1034,132.242,
478,55783,22937,32846,1038,125.615,
479,56232,23031,33201,898,115.831,
480,56598,23128,33470,732,138.97,
481,57115,23206,33909,1034,117.026,
482,57628,23306,34322,1026,117.169,
483,58125,23388,34737,994,123.915,
484,58631,23475,35156,1012,111.747,
485,59136,23560,35576,1010,117.698,
486,59621,23638,35983,970,117.218,
487,60128,23730,36398,1014,123.112,
488,60658,23827,36831,1060,99.9604,
489,61158,23886,37272,1000,99.7372,
490,61674,23952,37722,1032,110.583,
491,62159,24017,38142,970,95.6904,
492,62652,24087,38565,986,99.7762,
493,63154,24158,38996,1004,92.5718,
494,63600,24207,39393,892,92.2816,
495,63978,24270,39708,756,104.047,
496,64472,24340,40132,988,101.001,
497,64995,24427,40568,1046,103.549,
498,65492,24504,40988,994,96.6914,
499,65991,24584,41407,998,89.7272,
500,66495,24669,41826,1008,101.729,
501,66997,24740,42257,1004,98.6764,
502,67491,24804,42687,988,89.8983,
503,68023,24861,43162,1064,87.4003,
504,68522,24918,43604,998,95.801,
505,69035,24983,44052,1026,100.048,
506,69540,25037,44503,1010,93.6309,
507,70075,25095,44980,1070,93.8523,
508,70557,25162,45395,964,86.7733,
509,70986,25230,45756,858,73.1992,
510,71370,25285,46085,768,90.1454,
511,71885,25359,46526,1030,83.8559,
512,72390,25417,46973,1010,80.3346,
513,72897,25474,47423,1014,85.4216,
514,73390,25542,47848,986,82.3739,
515,73918,25588,48330,1056,86.1122,
516,74416,25650,48766,996,84.9197,
517,74904,25712,49192,976,77.017,
518,75439,25760,49679,1070,75.2439,
519,75931,25831,50100,984,78.875,
520,76438,25884,50554,1014,78.3555,
521,76922,25938,50984,968,72.4968,
522,77430,25999,51431,1016,75.5558,
523,77920,26065,51855,980,74.0615,
524,78341,26121,52220,842,67.8879,
525,78721,26186,52535,760,76.0003,
526,79228,26239,52989,1014,75.5772,
527,79740,26298,53442,1024,73.6691,
528,80219,26353,53866,958,73.431,
529,80725,26403,54322,1012,71.4918,
530,81248,26451,54797,1046,83.7865,
531,81763,26518,55245,1030,74.2715,
532,82251,26572,55679,976,69.8464,
533,82764,26628,56136,1026,68.5836,
534,83263,26686,56577,998,65.3748,
535,83760,26735,57025,994,65.408,
536,84267,26795,57472,1014,62.2067,
537,84782,26858,57924,1030,64.2428,
538,85270,26916,58354,976,63.4521,
539,85716,26969,58747,892,60.9025,
540,86091,27013,59078,750,66.3893,
541,86607,27058,59549,1032,65.6946,
542,87126,27090,60036,1038,71.1019,
543,87641,27117,60524,1030,57.901,
544,88144,27137,61007,1006,59.5731,
545,88677,27157,61520,1066,71.924,
546,89208,27175,62033,1062,67.8361,
547,89717,27196,62521,1018,60.2826,
548,90248,27218,63030,1062,68.9263,
549,90755,27237,63518,1014,60.3969,
550,91282,27254,64028,1054,65.7751,
551,91787,27273,64514,1010,59.6071,
552,92328,27292,65036,1082,62.4939,
553,92820,27310,65510,984,58.501,
554,93282,27326,65956,924,54.9826,
555,93664,27342,66322,764,58.5564,
556,94192,27360,66832,1056,63.1258,
557,94729,27379,67350,1074,63.0404,
558,95252,27400,67852,1046,60.6311,
559,95782,27419,68363,1060,62.4989,
560,96292,27437,68855,1020,58.1528,
561,96790,27449,69341,996,62.5682,
562,97300,27462,69838,1020,50.3266,
563,97822,27477,70345,1044,55.4907,
564,98334,27491,70843,1024,52.3966,
565,98867,27503,71364,1066,52.566,
566,99371,27520,71851,1008,52.3897,
567,99895,27533,72362,1048,57.5751,
568,100419,27551,72868,1048,55.6576,
569,100857,27562,73295,876,40.3004,
570,101242,27578,73664,770,50.3731,
571,101757,27595,74162,1030,51.9825,
572,102293,27606,74687,1072,51.4005,
573,102819,27621,75198,1052,43.8261,
574,103325,27636,75689,1012,52.5836,
575,103849,27651,76198,1048,49.3836,
576,104356,27654,76702,1014,54.4098,
577,104883,27655,77228,1054,52.7909,
578,105408,27655,77753,1050,49.1329,
579,105920,27655,78265,1024,50.1742,
580,106461,27655,78806,1082,51.816,
581,106960,27655,79305,998,47.3653,
582,107479,27655,79824,1038,51.6991,
583,108001,27655,80346,1044,46.769,
584,108438,27655,80783,874,45.3337,
585,108832,27655,81177,788,46.5698,
586,109353,27655,81698,1042,44.9994,
587,109874,27655,82219,1042,46.2443,
588,110381,27655,82726,1014,48.3696,
589,110897,27655,83242,1032,46.1938,
590,111441,27655,83786,1088,47.8033,
591,111966,27656,84310,1050,48.7688,
592,112483,27656,84827,1034,49.0961,
593,113005,27656,85349,1044,44.563,
594,113507,27656,85851,1004,42.32,
595,114039,27656,86383,1064,48.0499,
596,114532,27656,86876,986,39.0863,
597,115054,27657,87397,1044,42.6576,
598,115586,27657,87929,1064,42.4115,
599,116021,27657,88364,870,40.2208,
600,116327,27657,88670,612,33.5053,
601,116793,27657,89136,932,42.7954,
602,117248,27657,89591,910,31.0732,
603,117696,27657,90039,896,35.1302,
604,118125,27657,90468,858,38.1553,
605,118572,27657,90915,894,38.773,
606,119014,27657,91357,884,35.8845,
