origin_zone_no,destination_zone_no,number_of_vehicles,number_of_vehicles_completing_trips,trip_time_in_min,distance_in_mile
1,2,1021,368,207.687,1.70134
1,3,378,111,218.054,3.26449
1,4,21,7,265.839,4.15823
1,5,77,20,249.334,5.00015
1,6,82,22,194.133,5.40444
1,7,515,128,217.503,5.59855
1,8,9,2,46.7205,6.49854
1,9,135,27,126.378,6.64093
1,10,16,6,361.027,5.97366
1,11,175,63,187.455,4.44385
1,12,30,11,199.943,2.97288
1,13,254,101,179.374,2.86357
1,14,3840,1503,178.204,2.0483
1,15,192,77,187.04,2.02742
1,16,574,283,210.563,0.873031
1,17,398,177,219.392,0.954714
1,18,118,57,198.766,0.903859
1,19,45,10,201.985,4.59408
1,20,8,2,231.47,5.07752
1,21,39,7,85.2407,6.33433
0,0,6,0,0,0
1,23,24,7,161.296,6.06016
0,0,1,0,0,0
1,25,48,15,226.675,4.08893
1,26,32,7,180.146,4.06947
1,27,38,10,245,3.24235
1,28,27,10,163.509,5.94774
1,30,12,4,142.198,4.52961
1,31,143,41,208.32,2.23435
1,32,255,112,219.171,0.987006
1,33,18,5,295.216,4.49354
1,34,173,56,210.007,2.32034
1,35,49,25,194.865,1.45424
1,36,13,4,209.723,2.38588
1,37,95,28,214.689,3.56054
1,38,66,15,204.274,5.47705
0,0,1,0,0,0
1,40,26,10,183.434,2.47133
1,41,2031,1006,204.23,0.624455
2,1,905,729,187.796,1.47066
2,3,427,313,220.327,2.25397
2,4,9,6,342.214,3.62433
2,5,76,44,231.797,3.90531
2,6,74,43,231.29,4.64808
2,7,205,121,236.219,4.70162
2,9,116,46,151.39,6.07705
2,10,18,10,255.638,5.54229
2,11,162,134,208.678,3.81148
2,12,29,25,216.332,2.38508
2,13,264,220,208.057,2.26509
2,14,441,246,250.473,2.74993
2,15,114,62,274.772,2.68808
2,16,195,160,186.301,1.95655
2,17,299,259,177.846,1.02493
2,18,154,125,188.522,1.9875
2,19,47,32,229.931,3.53668
2,20,8,4,382.56,4.14786
