DTALite:
A Fast Open Source DTA Engine
Software Version =,1.1.0
Release Date=,Dec 10 2013
Simulation Date =,year: 2013,month:12,day:11,hour:22,min: 9
----------------------test1----------------------
Traffic Flow Model =,Spatial Queue Model
Assignment method=,Fixed Switching Rate
Percentage of considering to switch routes=,15
Travel time difference for route switching=,1
Relative Travel Time Indifference Band (%) for route switching=,15
 
# of Nodes=,149
# of Prohibited Movements=,0
# of Pretimed Signals=,20
# of Actuated Signals=,0
# of Link Types=,12
# of Links=,340
# of Zones=,41
# of Activity Locations=,51
# of Vehicle Types=,5
# of Demand Types=,4
# of Pricing Types=,0
# of VOT Records=,47
Demand Load Mode=,demand meta database
# of incident records=0
# of link-based toll records=0
# of work zone records=0
# of VMS records=0
# of movement records=0


Demand multiplier in setting file=,1
# of Vehicles to be simulated=,142013
# of Intra-zone Vehicles (not be simulated)=,0
Starting Time of Demand Loading (min)=,300
Ending Time of Demand Loading (min)=,660
Output Emission data=,NO
# of assignment iterations=,1
# of CPU threads=,8
Iteration #,CPU Running Time,# of agents,Avg Travel Time (min),Avg Trip Time (min),Avg Waiting Time at Origin (min),Avg Trip Time Index=(Mean TT/Free-flow TT),Avg Speed (mph),% considering to switch,% switched,% completing trips,network clearance time (in min),Avg UE gap (min),Relative UE gap (%),ODME: number of data points,ODME: Absolute link count error,ODME: % link count error,ODME: slope,ODME: r_squared,ODME: avg_simulated_to_avg_obs,travel_time_ 5:00,travel_time_ 5:15,travel_time_ 5:30,travel_time_ 5:45,travel_time_ 6:00,travel_time_ 6:15,travel_time_ 6:30,travel_time_ 6:45,travel_time_ 7:00,travel_time_ 7:15,travel_time_ 7:30,travel_time_ 7:45,travel_time_ 8:00,travel_time_ 8:15,travel_time_ 8:30,travel_time_ 8:45,travel_time_ 9:00,travel_time_ 9:15,travel_time_ 9:30,travel_time_ 9:45,travel_time_10:00,travel_time_10:15,travel_time_10:30,travel_time_10:45,Avg UE gap_ 5:00,Avg UE gap_ 5:15,Avg UE gap_ 5:30,Avg UE gap_ 5:45,Avg UE gap_ 6:00,Avg UE gap_ 6:15,Avg UE gap_ 6:30,Avg UE gap_ 6:45,Avg UE gap_ 7:00,Avg UE gap_ 7:15,Avg UE gap_ 7:30,Avg UE gap_ 7:45,Avg UE gap_ 8:00,Avg UE gap_ 8:15,Avg UE gap_ 8:30,Avg UE gap_ 8:45,Avg UE gap_ 9:00,Avg UE gap_ 9:15,Avg UE gap_ 9:30,Avg UE gap_ 9:45,Avg UE gap_10:00,Avg UE gap_10:15,Avg UE gap_10:30,Avg UE gap_10:45,Relative UE gap_ 5:00,Relative UE gap_ 5:15,Relative UE gap_ 5:30,Relative UE gap_ 5:45,Relative UE gap_ 6:00,Relative UE gap_ 6:15,Relative UE gap_ 6:30,Relative UE gap_ 6:45,Relative UE gap_ 7:00,Relative UE gap_ 7:15,Relative UE gap_ 7:30,Relative UE gap_ 7:45,Relative UE gap_ 8:00,Relative UE gap_ 8:15,Relative UE gap_ 8:30,Relative UE gap_ 8:45,Relative UE gap_ 9:00,Relative UE gap_ 9:15,Relative UE gap_ 9:30,Relative UE gap_ 9:45,Relative UE gap_10:00,Relative UE gap_10:15,Relative UE gap_10:30,Relative UE gap_10:45,
1,00:00:03,142013,103.481,219.585,116.104,53.664,1.42725,100,100,40.7681,1440, , , , , , , , ,6.57807,8.76443,11.1147,15.805,51.3001,113.157,152.154,155.667,106.745,102.624,99.0287,111.789,112.124,129.531,159.067,161.093,166.704,146.374,141.841,129.448,143.096,131.737,126.574,116.104, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2,00:00:05,142013,99.1064,203.853,104.747,46.2409,1.56647,16.8597,10.7434,45.0614,1440,57.8809,23.4766, , , , , , ,6.29042,7.45221,8.25005,10.2121,24.4043,63.9547,114.077,147.623,126.946,102.471,99.1612,103.897,117.432,125.644,142.472,143.856,159.745,162.032,161.067,147.32,147.103,142.809,134.65,124.083,3.23214,6.0872,8.06172,12.86,48.489,82.7127,139.939,127.865,205.902,173.91,155.091,131.406,131.132,139.909,150.637,177.871,180.695,160.511,151.108,143.254,159.467,167.381,152.425,146.28,31.8441,53.0102,64.3485,82.0386,184.165,217.959,242.382,145.293,149.955,118.247,119.286,97.7382,81.8184,95.3228,210.815,200.268,80.9383,61.1961,62.9453,63.4227,72.8928,82.4696,80.4842,82.3271,

--Time Dependent Network MOE--,60 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,total_out_flow,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,avg_waiting_time_at_origin,
300, 5:00,101,0,101,12120,41334.5,6.60014,1.1465,3.41043,31.0033,0.0392526,
360, 6:00,8897,7553,1344,26160,84276.4,21.3567,4.07853,3.22157,9.05078,0.037649,
420, 7:00,26303,16509,9794,43800,104604,231.686,56.3769,2.38822,0.618479,123.158,
480, 8:00,56598,23128,33470,43920,43784.9,138.97,79.4922,0.996924,0.430421,81.2216,
540, 9:00,86091,27013,59078,45000,24675.9,66.3893,68.2283,0.548353,0.49558,24.594,
600,10:00,116327,27657,88670,36720,10784.9,33.5053,66.0394,0.293708,0.52596,12.1035,
660,11:00,142013,27659,114354,1680,0,0,0,0,0,0,
720,12:00,142013,27686,114327,0,0,0,0,0,0,0,
780,13:00,142013,37609,104404,0,0,0,0,0,0,0,
840,14:00,142013,47042,94971,0,0,0,0,0,0,0,
900,15:00,142013,55734,86279,0,0,0,0,0,0,0,

--Time Dependent Network MOE--,30 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,total_out_flow,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,avg_waiting_time_at_origin,
300, 5:00,101,0,101,6060,20667.2,6.60014,1.1465,3.41044,31.0033,0.0392526,
330, 5:30,4450,3416,1034,6840,21202.2,9.84433,1.98397,3.09974,18.8926,0.0289732,
360, 6:00,8897,7553,1344,13080,42138.2,21.3567,4.07853,3.22157,9.05077,0.037649,
390, 6:30,17519,12162,5357,13440,35578.6,130.743,29.7048,2.64721,1.21485,20.8444,
420, 7:00,26303,16509,9794,21900,52302.1,231.687,56.3769,2.38822,0.618479,123.158,
450, 7:30,41485,20190,21295,24000,36521.3,208.96,80.219,1.52172,0.436942,142.828,
480, 8:00,56598,23128,33470,21960,21892.4,138.97,79.4922,0.996924,0.430421,81.2216,
510, 8:30,71370,25285,46085,23040,14766.4,90.1454,83.3458,0.640902,0.426579,46.6831,
540, 9:00,86091,27013,59078,22500,12337.9,66.3893,68.2283,0.548353,0.495579,24.594,
570, 9:30,101242,27578,73664,23100,9879.05,50.3731,68.1787,0.427665,0.509397,19.6605,
600,10:00,116327,27657,88670,18360,5392.47,33.5053,66.0394,0.293708,0.52596,12.1035,
630,10:30,129312,27658,101654,18300,4274.77,20.8788,52.5575,0.233594,0.671285,6.31209,
660,11:00,142013,27659,114354,840,0,0,0,0,0,0,
690,11:30,142013,27659,114354,0,0,0,0,0,0,0,
720,12:00,142013,27686,114327,0,0,0,0,0,0,0,
750,12:30,142013,32610,109403,0,0,0,0,0,0,0,
780,13:00,142013,37609,104404,0,0,0,0,0,0,0,
810,13:30,142013,42316,99697,0,0,0,0,0,0,0,
840,14:00,142013,47042,94971,0,0,0,0,0,0,0,
870,14:30,142013,51435,90578,0,0,0,0,0,0,0,
900,15:00,142013,55734,86279,0,0,0,0,0,0,0,
930,15:30,142013,59963,82050,0,0,0,0,0,0,0,

--Time Dependent Network MOE--,15 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,total_out_flow,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,avg_waiting_time_at_origin,
300, 5:00,101,0,101,3030,10333.6,6.60014,1.1465,3.41043,31.0033,0.0392526,
315, 5:15,2265,1376,889,3150,9357.39,7.37443,1.49787,2.9706,24.1695,0.0291928,
330, 5:30,4450,3416,1034,3420,10601.1,9.84432,1.98397,3.09974,18.8926,0.0289732,
345, 5:45,6629,5490,1139,3630,11293.8,11.3104,2.25212,3.11123,16.5046,0.0372698,
360, 6:00,8897,7553,1344,6540,21069.1,21.3567,4.07854,3.22157,9.05077,0.037649,
375, 6:15,13207,9834,3373,6870,19324.1,56.1242,12.2576,2.81283,3.00708,5.41433,
390, 6:30,17519,12162,5357,6720,17789.3,130.743,29.7048,2.64721,1.21485,20.8444,
405, 6:45,21839,14380,7459,6720,17236.1,188.003,43.4263,2.5649,0.818572,50.3124,
420, 7:00,26303,16509,9794,10950,26151,231.687,56.3769,2.38822,0.618479,123.158,
435, 7:15,33883,18427,15456,11340,21993.8,241.925,72.6498,1.93949,0.481014,166.296,
450, 7:30,41485,20190,21295,12000,18260.6,208.96,80.219,1.52172,0.436941,142.828,
465, 7:45,49052,21694,27358,11760,13911.1,172.903,85.1928,1.18292,0.41049,117.187,
480, 8:00,56598,23128,33470,10980,10946.2,138.97,79.4921,0.996924,0.430421,81.2216,
495, 8:15,63978,24270,39708,11340,8047.21,104.047,86.7525,0.709631,0.409218,61.5979,
