RECORDNAME,INTID,NBL2,NBL,NBT,NBR,NBR2,SBL2,SBL,SBT,SBR,SBR2,EBL2,EBL,EBT,EBR,EBR2,WBL2,WBL,WBT,WBR,WBR2,NEL,NET,NER,NWL,NWT,NWR,SEL,SET,SER,SWL,SWT,SWR,PED,HOLD,
Up Node,14705,,15204,15204,15204,,,14799,14799,14799,,,14704,14704,14704,,,15704,15704,15704,,,,,,,,,,,,,,,,
Dest Node,14705,,14704,14799,15704,,,15704,15204,14704,,,14799,15704,15204,,,15204,14704,14799,,,,,,,,,,,,,,,,
StreetName,14705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,14705,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Lanes,14705,,2,2,0,,,1,1,0,,,2,2,0,,,2,2,0,,,,,,,,,,,,,,,,
Shared,14705,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Width,14705,,12,12,12,,,12,12,12,,,12,12,12,,,12,12,12,,,,,,,,,,,,,,,,
Storage,14705,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
StLanes,14705,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Grade,14705,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Speed,14705,,35,35,35,,,35,35,35,,,40,40,40,,,35,35,35,,,,,,,,,,,,,,,,
Up Node,14799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,14799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,14799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,14799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,14799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,14799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,14799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,14799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,14799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,14799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,14799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,14704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,14704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,14704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,14704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,14704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,14704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,14704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,14704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,14704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,14704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,14704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,15704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,15704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,15704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,15704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,15704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,15704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,15704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,15704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,15704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,15704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,15704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,15204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,15204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,15204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,15204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,15204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,15204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,15204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,15204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,15204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,15204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,15204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,20663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,20663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,20663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,20663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,20663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,20663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,20663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,20663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,20663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,20663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,20663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,20179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,20179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,20179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,20179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,20179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,20179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,20179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,20179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,20179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,20179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,20179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,20175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,20175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,20175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,20175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,20175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,20175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,20175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,20175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,20175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
