RECORDNAME,INTID,NBL2,NBL,NBT,NBR,NBR2,SBL2,SBL,SBT,SBR,SBR2,EBL2,EBL,EBT,EBR,EBR2,WBL2,WBL,WBT,WBR,WBR2,NEL,NET,NER,NWL,NWT,NWR,SEL,SET,SER,SWL,SWT,SWR,PED,HOLD,
Up Node,1,,5,5,5,,,2,2,2,,,3,3,3,,,4,4,4,,,,,,,,,,,,,,,,
Dest Node,1,,3,2,4,,,4,5,3,,,2,4,5,,,5,3,2,,,,,,,,,,,,,,,,
StreetName,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Lanes,1,,2,2,0,,,1,1,0,,,2,2,0,,,2,2,0,,,,,,,,,,,,,,,,
Shared,1,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Width,1,,12,12,12,,,12,12,12,,,12,12,12,,,12,12,12,,,,,,,,,,,,,,,,
Storage,1,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
StLanes,1,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Grade,1,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Speed,1,,35,35,35,,,35,35,35,,,40,40,40,,,35,35,35,,,,,,,,,,,,,,,,
Up Node,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
