Start AMS reading...
Step 1: Read control type definition data
Read 69 link types from file C:\NEXTA_OpenSource\Software_release\sample_data_sets\2. Importing_Creating_Traffic_Modeling_Data_Sets\3.VISUM_sample_GIS_files\input_link_type.csv
1: node block---
node id,control_type,TAZ,name,x,y
132673469,0,0,,-111.980,40.704,
132676365,0,0,,-112.015,40.693,
132677590,0,0,,-112.025,40.704,
132682589,0,0,,-112.006,40.695,
132682590,0,0,,-112.006,40.695,
132682591,5,0,,-112.006,40.697,
132682592,0,0,,-112.005,40.695,
132682595,0,0,,-112.005,40.695,
132684259,0,0,,-111.996,40.693,
132684260,0,0,,-111.996,40.694,
132684261,0,0,,-111.996,40.695,
132684262,0,0,,-111.995,40.694,
132684264,0,0,,-111.994,40.694,
132684265,0,0,,-111.994,40.694,
132684266,0,0,,-111.994,40.694,
132684267,0,0,,-111.994,40.695,
132727511,0,0,,-112.006,40.702,
132727515,0,0,,-112.003,40.702,
132727516,0,0,,-112.002,40.702,
132727518,0,0,,-112.004,40.702,
132727597,0,0,,-112.006,40.701,
132727612,0,0,,-112.025,40.700,
132727633,0,0,,-112.021,40.700,
132727635,0,0,,-112.020,40.700,
132727636,0,0,,-112.023,40.700,
132727637,0,0,,-112.020,40.700,
132727645,0,0,,-112.013,40.700,
132727649,0,0,,-112.006,40.700,
132727650,0,0,,-112.005,40.700,
132727654,0,0,,-112.001,40.700,
132727656,0,0,,-112.017,40.700,
132727657,0,0,,-112.015,40.700,
132727659,0,0,,-112.016,40.700,
132727661,0,0,,-112.024,40.700,
132727662,0,0,,-112.024,40.700,
132727664,0,0,,-112.025,40.700,
132727690,0,0,,-112.013,40.699,
132727691,0,0,,-112.021,40.699,
132727719,0,0,,-112.013,40.699,
132727721,0,0,,-112.021,40.698,
132727724,0,0,,-112.015,40.698,
132727732,0,0,,-112.011,40.698,
132727744,0,0,,-112.005,40.698,
132727745,0,0,,-112.006,40.698,
132727746,0,0,,-112.004,40.698,
132727748,0,0,,-112.002,40.698,
132727757,0,0,,-112.013,40.698,
132727758,0,0,,-112.015,40.698,
132727761,0,0,,-112.016,40.698,
132727762,0,0,,-112.015,40.698,
132727765,0,0,,-112.017,40.698,
132727766,0,0,,-112.018,40.698,
132727768,0,0,,-112.002,40.698,
132727773,0,0,,-112.011,40.698,
132727774,0,0,,-112.012,40.698,
132727790,0,0,,-112.002,40.697,
132727800,0,0,,-112.013,40.697,
132727804,0,0,,-112.014,40.697,
132727831,0,0,,-112.030,40.696,
132727832,0,0,,-112.030,40.697,
132727833,0,0,,-112.028,40.697,
132727834,0,0,,-112.027,40.697,
132727835,0,0,,-112.021,40.697,
132727836,0,0,,-112.021,40.698,
132727837,0,0,,-112.032,40.697,
132727838,0,0,,-112.034,40.697,
132727839,5,0,,-112.025,40.697,
132727840,0,0,,-112.017,40.697,
132727841,5,0,,-112.015,40.697,
132727842,0,0,,-112.013,40.697,
132727843,0,0,,-112.011,40.697,
132727844,0,0,,-112.009,40.697,
132727862,0,0,,-112.027,40.696,
132727863,0,0,,-112.027,40.696,
132727875,0,0,,-112.012,40.695,
132727882,0,0,,-112.018,40.695,
132727883,0,0,,-112.018,40.695,
132727884,0,0,,-112.019,40.695,
132727885,0,0,,-112.019,40.695,
132727886,0,0,,-112.019,40.695,
132727890,0,0,,-112.015,40.695,
132727892,0,0,,-112.017,40.695,
132727909,0,0,,-112.007,40.695,
132727914,0,0,,-112.027,40.695,
132727915,0,0,,-112.028,40.695,
132727916,0,0,,-112.025,40.695,
132727917,0,0,,-112.026,40.695,
132727919,0,0,,-112.008,40.695,
132727925,0,0,,-112.008,40.695,
132727930,0,0,,-112.009,40.694,
