TMC,Min_15,Min_30,Min_45,Min_60,Min_75,Min_90,Min_105,Min_120,Min_135,Min_150,Min_165,Min_180,Min_195,Min_210,Min_225,Min_240,Min_255,Min_270,Min_285,Min_300,Min_315,Min_330,Min_345,Min_360,Min_375,Min_390,Min_405,Min_420,Min_435,Min_450,Min_465,Min_480,Min_495,Min_510,Min_525,Min_540,Min_555,Min_570,Min_585,Min_600,Min_615,Min_630,Min_645,Min_660,Min_675,Min_690,Min_705,Min_720,Min_735,Min_750,Min_765,Min_780,Min_795,Min_810,Min_825,Min_840,Min_855,Min_870,Min_885,Min_900,Min_915,Min_930,Min_945,Min_960,Min_975,Min_990,Min_1005,Min_1020,Min_1035,Min_1050,Min_1065,Min_1080,Min_1095,Min_1110,Min_1125,Min_1140,Min_1155,Min_1170,Min_1185,Min_1200,Min_1215,Min_1230,Min_1245,Min_1260,Min_1275,Min_1290,Min_1305,Min_1320,Min_1335,Min_1350,Min_1365,Min_1380,Min_1395,Min_1410,Min_1425
114+04394,60,56,56,56,56,60,56,60,60,60,60,61,60,61,60,60,60,60,60,60,60,60,61,59,59,59,55,48,43,41,41,46,52,56,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,56,55,55,55,54,52,45,41,35,35,32,30,30,30,31,35,35,42,48,53,55,55,56,60,60,60,60,56,55,56,60,56,60,60,56,56,56,55,55,60,60,60
114+04395,60,55,55,55,55,55,55,55,55,55,55,56,60,60,56,56,55,55,55,55,55,55,55,56,55,56,47,40,36,35,40,44,47,49,52,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,55,54,53,50,48,46,44,42,40,40,40,35,36,35,35,35,40,44,47,51,54,55,55,55,56,56,55,55,55,55,55,56,56,55,55,55,55,55,55,55,56,60
114+04396,55,55,56,56,55,56,56,56,56,56,56,55,55,55,56,55,55,55,55,55,55,55,55,55,54,52,47,43,41,41,44,47,49,50,51,53,54,54,54,54,54,54,54,55,55,55,54,54,54,54,53,53,53,53,52,51,50,49,48,47,47,46,45,44,43,41,40,41,41,44,46,47,50,53,54,55,56,56,56,55,55,55,55,55,56,56,55,55,56,56,55,55,55,56,55
114+11937,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,35,35,35,35,36,33,32,32,31,29,23,26,25,31,36,35,36,36,35,33,30,29,29,32,28,31,26,25,28,28,29,26,31,31,28,30,31,30,26,25,25,26,29,28,26,25,26,25,26,25,26,25,28,33,32,31,35,32,32,32,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
114+11938,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,32,31,32,32,32,32,32,31,31,31,31,31,31,29,25,23,23,25,26,25,25,26,25,25,29,26,25,25,25,25,25,25,25,25,26,26,26,25,26,25,25,25,21,20,23,23,23,25,25,25,25,26,25,25,25,31,28,29,30,29,31,32,30,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
114+11939,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,30,30,31,31,32,32,30,30,31,29,25,26,25,25,26,25,26,29,32,32,29,32,32,29,26,26,26,26,29,23,23,26,26,25,22,22,22,25,25,23,25,18,23,23,25,24,25,26,25,26,26,32,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
114+12592,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,23,17,19,22,25,25,28,29,29,28,29,25,25,24,24,23,23,21,22,21,20,22,21,22,23,22,23,26,23,24,22,22,22,21,21,19,19,20,19,22,23,25,26,25,25,26,25,26,25,29,25,26,26,25,25,30,31,31,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31
114+12605,40,40,40,40,40,40,40,40,40,40,36,40,40,40,40,35,25,25,25,25,26,29,29,29,30,29,26,26,25,25,25,25,25,26,25,26,25,26,25,25,25,25,25,25,25,26,26,26,25,25,25,26,25,25,25,28,25,28,28,25,29,30,30,31,30,29,29,29,31,32,33,35,35,35,30,35,33,35,35,36,35,35,35,35,35,40,40,40,40,40,40,40,40,40,40
114+12606,35,35,35,35,35,35,35,35,35,35,35,35,35,35,32,32,32,35,35,30,30,30,28,25,25,26,26,24,23,23,23,23,25,25,25,25,25,25,25,25,25,23,23,22,23,22,25,26,23,22,21,20,20,22,22,22,25,23,23,23,25,24,23,25,25,21,22,21,19,25,21,25,25,35,35,31,32,29,29,31,31,32,32,33,35,35,35,35,35,35,35,35,35,35,35
114+12829,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,25,26,28,30,26,23,25,26,26,25,26,29,29,29,30,29,29,30,26,30,26,28,28,25,26,26,29,25,25,25,26,29,30,29,30,30,30,29,30,30,30,30,30,30,30,30,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
114+12865,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,25,26,25,25,25,25,30,25,26,26,25,25,26,32,35,36,32,31,32,29,26,25,26,25,26,29,29,24,25,26,25,29,22,23,26,25,26,25,25,25,25,26,25,26,26,25,26,25,29,25,26,35,35,35,35,36,36,35,32,35,35,35,35,35,35,35,35,35
114+13079,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,32,35,29,29,40,36,36,35,36,35,35,35,35,40,30,40,35,35,36,35,35,32,36,36,32,35,35,32,35,35,35,29,31,35,32,31,31,31,35,36,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
114+13560,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,23,23,23,23,22,21,20,20,19,20,21,20,22,21,21,21,20,20,21,21,21,22,19,17,17,18,19,20,20,19,20,18,19,20,21,22,22,22,21,21,20,20,20,21,21,21,21,19,20,20,21,21,19,21,21,23,21,20,25,23,25,25,24,25,25,20,23,25,25,25,25,25,25,26,25
114+13561,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,22,22,22,24,25,25,25,23,23,22,23,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,22,23,23,23,22,22,22,22,22,23,22,23,23,22,22,23,22,21,22,21,23,23,24,26,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,25,25,25
114-04393,55,55,55,55,55,55,55,55,55,55,55,56,56,55,55,55,55,55,55,56,60,60,56,55,55,55,55,55,55,55,55,55,55,56,55,55,55,55,55,56,60,56,60,56,56,56,56,56,56,55,55,55,56,56,60,60,55,55,56,55,55,55,56,56,55,56,56,56,55,56,55,55,56,60,56,56,55,56,55,56,56,55,55,55,55,55,55,55,55,55,55,55,55,55,55
